"Зайцева ул., д.19/18",277.3\223.4,206\186
"Зайцева ул., д.20",458.4\284.5,342\227
"Зайцева ул., д.21",27.6\14.4,19\12
"Зайцева ул., д.22/13",972.336\459.7,880.8\378
"Зайцева ул., д.25",120\182.3,88\1
"Зайцева ул., д.26",349.8\0,349.8\0
"Зайцева ул., д.29",26.4\28.9,17\29
"Зайцева ул., д.31",383.1\242.8,252\189
"Зайцева ул., д.32",191\141.5,159\140
"Зайцева ул., д.33",276.42\223.6,216.8\197
"Зайцева ул., д.34",111.3\52.4,106\50
"Зайцева ул., д.36",313\200.1,329\207
"Зайцева ул., д.37",177.35\106.4,152.2\108
"Зайцева ул., д.39",284.4\193.5,181\143
"Зины Портновой ул., д.4",49.1\46.7,92.1\72.9
"Зины Портновой ул., д.6",249.9\255,188\228
"Зины Портновой ул., д.8",332.2\280.1,253\237
"Зины Портновой ул., д.10",182\167.6,151\176
"Зины Портновой ул., д.12",147.4\170.5,120\156
"Зины Портновой ул., д.14",238.9\225.6,205\234
"Зины Портновой ул., д.16",486.8\242.3,446\220
"Зины Портновой ул., д.18",240.3\227.2,203\236
"Зины Портновой ул., д.20",90.5\100.7,61\97
"Зины Портновой ул., д.22",85.1\79.6,62\76
"Зины Портновой ул., д.24",165.6\173.2,109\150
"Зины Портновой ул., д.26",177.6\201.2,120\188
"Зины Портновой ул., д.28",267.7\146.4,310\167
"Зины Портновой ул., д.30",351.2\272.4,236\234
"Зои Космодемьянской ул., д.3",178\121.4,255\32.3
"Зои Космодемьянской ул., д.5",714.4\305.2,577.8\227
"Зои Космодемьянской ул., д.6, к.1",443.3\190.5,370.5\151
"Зои Космодемьянской ул., д.8/17",62.7\38.6,36\32
"Зои Космодемьянской ул., д.15",102.3\58,111.6\62
"Зои Космодемьянской ул., д.16/24",50.4\23.4,42.4\29
"Зои Космодемьянской ул., д.17/26",212.4\152.4,35.3\53
"Зои Космодемьянской ул., д.21",180.2\72.9,216\72
"Зои Космодемьянской ул., д.23",116.3\36.4,91\27
"Зои Космодемьянской ул., д.25/20",109\71.7,71\49
"Зои Космодемьянской ул., д.29",60.6\53.5,46\49
"Ивана Черных ул., д.1",30.363\19.7,3.5\2
"Ивана Черных ул., д.3",245.2\95.2,701\380
"Ивана Черных ул., д.3, к.2",171.6\90.6,180\91
"Ивана Черных ул., д.13а",102\66,142\86
"Ивана Черных ул., д.13б",190.9\168.6,159\129
"Ивана Черных ул., д.15а",211.1\150.7,162\116
"Ивана Черных ул., д.15б",49.8\44,48\44
"Ивана Черных ул., д.19",183.2\151.2,129\138
"Ивана Черных ул., д.21",77.43\72,38.3\48
"Канонерский о., д.7",6367.4\3483.8,6135\3166
"Канонерский о., д.8",4231.9\1461.2,4172\1457
"Канонерский о., д.9",2022\799.5,2160\825
"Канонерский о., д.10",2931\1230.5,2990\1245
"Канонерский о., д.12",638.5\330,675\340
"Канонерский о., д.12, к.2",617.6\319.4,583\305
"Канонерский о., д.13",489.3\391.2,337\387
"Канонерский о., д.14",318.7\235.3,493\397
"Канонерский о., д.15",90\41,81\13
"Канонерский о., д.16",111.1\76.6,132\82
"Канонерский о., д.25",241.2\95.6,239\83
"Корнеева ул., д.2",1084.81\611.7,1093.45\612
"Корнеева ул., д.6",1352.87\332.6,1414.4\322
"Косинова ул., д.5",97\48,74\37
"Косинова ул., д.7",36.8\42.2,25.76\41
"Косинова ул., д.9/9",142.1\80.8,115\70
"Косинова ул., д.14, к.1",466.7\364.8,276\300
"Косинова ул., д.14, к.2",186.6\139.8,125\93
"Краснопутиловская ул., д.16/13",897.84\454.4,715.52\362
"Краснопутиловская ул., д.18",101.1\64.4,113\73
"Краснопутиловская ул., д.20",359.55\236.2,306\189
"Краснопутиловская ул., д.26",517.118\287.2,652.74\295
"Краснопутиловская ул., д.28/20",380.064\201.6,373.44\199
"Ленинский пр., д.110, к.1а",465.8\380.7,406\340
"Ленинский пр., д.110, к.1б",1606.3\1390.5,1462\1652
"Ленинский пр., д.120, к.2",145\122,134\121
"Ленинский пр., д.124",2782.16\1479.9,1635.1\711
"Ленинский пр., д.130, к.2",963.4\456.6,825\388
"Майков пер., д.3",86\65,55\54
"Майков пер., д.5а",76\40,70\38
"Майков пер., д.7/1",168\89,142\71
"Маршала Говорова ул., д.3/7",400.138\0,323.84\0
"Маршала Говорова ул., д.5/4",343.889\283.3,252.07\229
"Маршала Говорова ул., д.6/5",132.728\98.9,87.42\71
"Маршала Говорова ул., д.7",192.8\105.1,165\89
"Маршала Говорова ул., д.11/3",13.616\5.3,683.62\0
"Маршала Говорова ул., д.15",67.192\98.5,45.88\86
"Маршала Говорова ул., д.16",3867.6\1728.1,3392\1525
"Маршала Говорова ул., д.17",102.207\74.2,73.47\67
"Маршала Говорова ул., д.21",356.5\206.6,293\196
"Маршала Говорова ул., д.22/10",448.04\310,447.12\325
"Маршала Говорова ул., д.22, к.2",113.444\104.5,115.34\114
"Маршала Говорова ул., д.23",180.7\89.3,179\88
"Маршала Говорова ул., д.24",481.9\328.2,405\286
"Маршала Говорова ул., д.26, к.2",428.9\218.9,346\177
"Маршала Жукова пр., д.18а",985.3\479.8,910\419
"Маршала Жукова пр., д.18б",2589.98\1273.4,2879.91\1623
"Маршала Жукова пр., д.18в",2702.9\1583.4,2428\1426
"Маршала Жукова пр., д.18г",1348.07\911,1205.4\1007
"Маршала Жукова пр., д.18д",999.1\575.4,1005\555
"Маршала Жукова пр., д.26/16а",809.3\551.5,779\544
"Маршала Жукова пр., д.26/16б",1766.87\986.2,1704.29\858
"Маршала Жукова пр., д.26/16в",1603.22\1110.4,1385.16\952
"Маршала Жукова пр., д.28, к.1",1955.4\1316.6,1782.62\1213
"Маршала Жукова пр., д.30, к.2а",1212\798,1170\780
"Маршала Жукова пр., д.30, к.2б",195\105.7,626\168
"Маршала Жукова пр., д.30, к.2в",3555\2202.3,3117\1873
"Маршала Жукова пр., д.30, к.2г",1494.3\1037.5,1472\1149
"Маршала Жукова пр., д.30, к.2д",2963.5\1790.7,2982\1756
"Маршала Жукова пр., д.30, к.2е",1279\930.7,1052\904
"Маршала Жукова пр., д.30, к.2ж",1802.2\1121.3,1792\1205
"Маршала Жукова пр., д.32, к.1",3895.85\1932.5,3385.3\1793
"Маршала Жукова пр., д.34, к.1а",1599.2\575.2,1493\1738
"Маршала Жукова пр., д.34, к.1б",319\64,336\63
"Маршала Жукова пр., д.34, к.1в",2019.9\1581.9,1853\1523
"Маршала Жукова пр., д.34, к.1г",1053.87\776.3,940.8\715
"Маршала Жукова пр., д.34, к.1д",617\124,648\121
"Маршала Жукова пр., д.34, к.1е",936.5\188.5,986\184
"Маршала Казакова ул., д.1, к.2",1394.4\1029.3,1236\992
"Маршала Казакова ул., д.3, к.1",1449.1\650.5,1231\564
"Маршала Казакова ул., д.5, к.1а",557.01\490.5,462.6\442
"Маршала Казакова ул., д.5, к.1б",1141.26\903.9,990\830
