"Автовская ул., д.21",234\133,268\156
"Автовская ул., д.22",252\130,320\167
"Автовская ул., д.25",243\154,211\147
"Автовская ул., д.26/37",367.39\245,437\282
"Автовская ул., д.28/30",240\146,278\181
"Автовская ул., д.29",800\160,780\164
"Автовская ул., д.30",174\111,158\110
"Автовская ул., д.32",62.71\94,157\102
"Автовская ул., д.34",126\77,139\89
"Автовская ул., д.38",95\64,115\83
"Автовская ул., д.40",289\192,329\242
"Автовская ул., д.46",113\59,146\76
"Автовская ул., д.52",224\146,296\222
"Балтийская ул., д.2/14",405.68\312,194\393
"Балтийская ул., д.12",183.34\121,201\132
"Балтийская ул., д.14",815\0,815\0
"Балтийская ул., д.17",1486.95\1549.95,1486.95\1549.95
"Балтийская ул., д.17, к.2",490.9\70,490.9\70
"Балтийская ул., д.18",79\29,48\38
"Балтийская ул., д.19",80\48,58\39
"Балтийская ул., д.20",32.17\37.14,66\35
"Балтийская ул., д.21",427\30,372\30
"Балтийская ул., д.22",25\28.86,52\28
"Балтийская ул., д.23",10\10,5\5
"Балтийская ул., д.24",42.22\75,67\90
"Балтийская ул., д.25",54\35,183\87
"Балтийская ул., д.27",36\19,39\48
"Балтийская ул., д.32",75.07\55,61\48
"Балтийская ул., д.34",36.01\0,39\0
"Балтийская ул., д.36/9",24.5\88,136\70
"Балтийская ул., д.38",223\134,173\121
"Баррикадная ул., д.3",300\0,300\59
"Баррикадная ул., д.4",215\201,317\207
"Баррикадная ул., д.34",75\38,93\45
"Белоусова ул., д.3",10\90,10\60
"Белоусова ул., д.5",105\64,91\63
"Белоусова ул., д.6/42",336.6\234,168\134
"Белоусова ул., д.10",309.17\259,347\361
"Белоусова ул., д.14/41",282\198,341\269
"Белоусова ул., д.16",63.78\57,246\45
"Белоусова ул., д.18",108\57,66\34
"Белоусова ул., д.18, к.1",193\132,155\116
"Белоусова ул., д.20",84\47,102\60
"Белоусова ул., д.22",1679\792,1819\800
"Белоусова ул., д.24/32",.29\27,3\34
"Васи Алексеева ул., д.7",116.99\13,244\18
"Васи Алексеева ул., д.9",8.36\51,50\85
"Васи Алексеева ул., д.10",31.1\96,81\122
"Васи Алексеева ул., д.11",239\140,282\185
"Васи Алексеева ул., д.17",329\206,296\210
"Васи Алексеева ул., д.20/24",113.22\176,342\234
"Васи Алексеева ул., д.21",249\144,344\207
"Васи Алексеева ул., д.22",586.65\391,760\518
"Васи Алексеева ул., д.24",440\245,595\347
"Васи Алексеева ул., д.25",307\201,382\285
"Васи Алексеева ул., д.26",287.48\283,418\374
"Васи Алексеева ул., д.28",172\100,272\166
"Васи Алексеева ул., д.30",456.89\294,585\407
"Возрождения ул., д.7/25",127.69\632,858\265
"Возрождения ул., д.9",68\35,20\46
"Возрождения ул., д.15",201.48\113,291\183
"Возрождения ул., д.19/38",602.39\470,435\387
"Возрождения ул., д.23",293\173,222\150
"Возрождения ул., д.25",332\190,356\237
"Возрождения ул., д.27",261\146,265\153
"Гладкова ул., д.1",40.49\72,29\72
"Гладкова ул., д.1а",96\45,84\38
"Гладкова ул., д.7/10",19.32\48,17\47
"Гладкова ул., д.11",10\30,19\20
"Гладкова ул., д.13",31\16,28\17
"Гладкова ул., д.17",240\93,315\189
"Гладкова ул., д.19",84\57,63\45
"Гладкова ул., д.21",212\0,212\0
"Гладкова ул., д.23",381\182,193\153
"Гладкова ул., д.24/7",228\116,78\40
"Гладкова ул., д.25",598\359,519\341
"Гладкова ул., д.26",160\79,125\62
"Гладкова ул., д.29",175\116,131\105
"Гладкова ул., д.31/7",62\32,97\32
"Гладкова ул., д.33",186\93,142\72
"Гладкова ул., д.35",192\0,192\0
"Гладкова ул., д.39",43\21,91\55
"Гладкова ул., д.41",50\33,33\25
"Гладкова ул., д.43",42\21,31\15
"Губина ул., д.1/32",169.71\85,148\70
"Губина ул., д.4",130\70,110\61
"Губина ул., д.5",1\1,120\57
"Губина ул., д.6",142\77,134\75
"Губина ул., д.8",205\95,208\92
"Губина ул., д.9, к.1",48\25,41\21
"Губина ул., д.9, к.2",60\30,58\29
"Губина ул., д.12",142\72,87\43
"Губина ул., д.13, к.1",86.91\120,153\180
"Губина ул., д.13, к.2",48\24,31\17
"Губина ул., д.14",68\37,46\34
"Губина ул., д.15",85.95\56,53\44
"Губина ул., д.18",7\4,6\3
"Губина ул., д.19/16",128\77,88\64
"Губина ул., д.20",117\45,110\42
"Губина ул., д.21",83\49,66\39
"Губина ул., д.22/21",78\40,59\30
"Губина ул., д.23/19",118\31,119\56
"Двинская ул., д.4",610\343,433\265
"Двинская ул., д.4, к.1",389\220,379\186
"Двинская ул., д.4, к.2",634\356,491\292
"Двинская ул., д.4, к.3",523\310,409\259
"Двинская ул., д.4, к.4",334\206,265\177
"Двинская ул., д.8",214.68\125,43\102
"Двинская ул., д.9",235.1\152,173\122
"Двинская ул., д.10",1371.2\1364,1321\1251
"Двинская ул., д.14",251.14\146,292\170
