"Зайцева ул., д.33",231.2\206,245.8\218.4
"Зайцева ул., д.34",149\71,139.2\66
"Зайцева ул., д.36",274\174,226.8\144
"Зайцева ул., д.37",159\110,176\112
"Зайцева ул., д.39",177\151,166.4\130
"Зины Портновой ул., д.4",72\62,70\59
"Зины Портновой ул., д.6",180\219,159.6\210
"Зины Портновой ул., д.8",246\243,226.8\195.6
"Зины Портновой ул., д.10",114\157,74\135.6
"Зины Портновой ул., д.12",88\101,66\113
"Зины Портновой ул., д.14",184\248,129\223.6
"Зины Портновой ул., д.16",453\226,420\209
"Зины Портновой ул., д.18",172\247,198\221
"Зины Портновой ул., д.20",40\75,30.8\51.8
"Зины Портновой ул., д.22",59\75,48.4\58.3
"Зины Портновой ул., д.24",74\126,48.4\94.6
"Зины Портновой ул., д.26",83\184,70\159
"Зины Портновой ул., д.28",300\162,261.6\139.2
"Зины Портновой ул., д.30",205\229,186\229.2
"Зои Космодемьянской ул., д.3",183\281.2,234\252
"Зои Космодемьянской ул., д.5",571.5\222,796.5\408
"Зои Космодемьянской ул., д.6, к.1",367.65\154,475.95\204
"Зои Космодемьянской ул., д.8/17",41\28,34\20.4
"Зои Космодемьянской ул., д.15",114.39\63,126.5\70
"Зои Космодемьянской ул., д.16/24",44.7\30,56.2\38
"Зои Космодемьянской ул., д.17/26",18.6\41,17.7\22
"Зои Космодемьянской ул., д.21",98\69,72\71
"Зои Космодемьянской ул., д.23",96\31,82\34
"Зои Космодемьянской ул., д.25/20",69\53,63\42
"Зои Космодемьянской ул., д.29",27\43,22.5\26
"Ивана Черных ул., д.1",2.6\2,1.74\1
"Ивана Черных ул., д.3",199\110,191.4\0
"Ивана Черных ул., д.3, к.2",167\86,150.7\79.2
"Ивана Черных ул., д.13а",72\47,83\54
"Ивана Черных ул., д.13б",126\100,123\113
"Ивана Черных ул., д.15а",104\89,112\70
"Ивана Черных ул., д.15б",19\33,22\41
"Ивана Черных ул., д.19",93\107,94\111
"Ивана Черных ул., д.21",24.4\40,53.1\55
"Канонерский о., д.7",6190\2957,6154\3118
"Канонерский о., д.8",3907\1268,3927\1462
"Канонерский о., д.9",2190\840,2280\945
"Канонерский о., д.10",2850\1155,2735\1180
"Канонерский о., д.12",520\262,624\303
"Канонерский о., д.12, к.2",470\247,498\276
"Канонерский о., д.13",238\333,345\351
"Канонерский о., д.14",297\297,327\341
"Канонерский о., д.15",16\8,21\6
"Канонерский о., д.16",73\53,118\48
"Канонерский о., д.25",236\89,226\74
"Корнеева ул., д.2",701.1\408,674.5\420
"Корнеева ул., д.6",1124.6\267,1345.6\357
"Косинова ул., д.5",44\22,40\21
"Косинова ул., д.7",18.4\33,14.72\34
"Косинова ул., д.9/9",87\55,86\44
"Косинова ул., д.14, к.1",250\276,227\285
"Косинова ул., д.14, к.2",114\80,129\93
