"Автовская ул., д.21",268\156,311\170
"Автовская ул., д.22",320\167,262\137
"Автовская ул., д.25",211\147,161\127
"Автовская ул., д.26/37",437\282,347.39\239
"Автовская ул., д.28/30",278\181,184\137
"Автовская ул., д.29",780\164,655\154
"Автовская ул., д.30",158\110,93\76
"Автовская ул., д.32",157\102,108\84
"Автовская ул., д.34",139\89,99\72
"Автовская ул., д.38",115\83,55\41
"Автовская ул., д.40",329\242,239\202
"Автовская ул., д.46",146\76,124\65
"Автовская ул., д.52",296\222,131\125
"Балтийская ул., д.2/14",194\393,369.68\414
"Балтийская ул., д.12",201\132,212.34\145
"Балтийская ул., д.14",815\0,815\1
"Балтийская ул., д.17",1486.95\1549.95,1486.95\1549.95
"Балтийская ул., д.17, к.2",490.9\70,159.81\70
"Балтийская ул., д.18",48\38,76\70
"Балтийская ул., д.19",58\39,77\57
"Балтийская ул., д.20",66\35,52.99\53.46
"Балтийская ул., д.21",372\30,392\12
"Балтийская ул., д.22",52\28,41.18\41.54
"Балтийская ул., д.23",5\5,20\10
"Балтийская ул., д.24",67\90,87.22\110
"Балтийская ул., д.25",183\87,102\51
"Балтийская ул., д.27",39\48,33\16
"Балтийская ул., д.32",61\48,96.07\75
"Балтийская ул., д.34",39\0,71.01\0
"Балтийская ул., д.36/9",136\70,113.5\127
"Балтийская ул., д.38",173\121,313\233
"Баррикадная ул., д.3",300\59,300\10
"Баррикадная ул., д.4",317\207,196\1
"Баррикадная ул., д.34",93\45,85\36
"Белоусова ул., д.3",10\60,10\53
"Белоусова ул., д.5",91\63,98\74
"Белоусова ул., д.6/42",168\134,303.6\211
"Белоусова ул., д.10",347\361,210.17\1
"Белоусова ул., д.14/41",341\269,215\1
"Белоусова ул., д.16",246\45,163.78\47
"Белоусова ул., д.18",66\34,77\41
"Белоусова ул., д.18, к.1",155\116,143\130
"Белоусова ул., д.20",102\60,72\50
"Белоусова ул., д.22",1819\800,1450\689
"Белоусова ул., д.24/32",3\34,33\33
"Васи Алексеева ул., д.7",244\18,141.99\12
"Васи Алексеева ул., д.9",50\85,53\47
"Васи Алексеева ул., д.10",81\122,61.1\108
