"Зои Космодемьянской ул., д.6, к.2",3\2,3\2
"Зои Космодемьянской ул., д.8/17",12\10,6\5
"Зои Космодемьянской ул., д.17/26",357\147,273\122
"Зои Космодемьянской ул., д.25/20",54\32,72\43
"Зои Космодемьянской ул., д.29",82\72,88\76
"Ивана Черных ул., д.1",,24\15
"Ивана Черных ул., д.13",306\347,296\332
"Ивана Черных ул., д.15",181\183,165\175
"Ивана Черных ул., д.19",220\249,216\234
"Канонерский о., д.7",8152\4674,12222\18819
"Канонерский о., д.8",4945\1891,3437\1238
"Канонерский о., д.9",2955\1245,2130\855
"Канонерский о., д.10",3660\1590,2535\1070
"Канонерский о., д.12",909\462,722\359
"Канонерский о., д.12, к.2",681\377,621\309
"Канонерский о., д.13",278\351,210\296
"Канонерский о., д.14",367\279,174\154
"Канонерский о., д.16",179\117,129\83
"Канонерский о., д.17",20\59,273\89
"Канонерский о., д.25",1608\661,943\447
"Корнеева ул., д.2",354\241,345\237
"Корнеева ул., д.6",643\293,174\249
"Косинова ул., д.5",25\0,23\12
"Косинова ул., д.7",19\24,12\19
"Косинова ул., д.9/9",43\21,82\41
"Косинова ул., д.14, к.1",1020\680,761\646
"Косинова ул., д.14, к.2",35\29,35\29
"Краснопутиловская ул., д.16/13",71\39,75\39
"Краснопутиловская ул., д.18",108\63,123\71
"Краснопутиловская ул., д.20",18\132,25\145
"Краснопутиловская ул., д.26",335\233,359\281
"Краснопутиловская ул., д.28/20",1001\582,881\522
"Ленинский пр., д.110, к.1а",511\357,493\315
"Ленинский пр., д.110, к.1б",2176\1667,1842\1655
"Ленинский пр., д.120, к.2",124\110,149\100
"Ленинский пр., д.124",3141\1258,3103\1270
"Майков пер., д.3",25\42,22\39
"Майков пер., д.5а",90\60,89\59
"Майков пер., д.7/1",69\32,57\36
"Маршала Говорова ул., д.5/4",760\594,702\536
"Маршала Говорова ул., д.6/5",260\339,143\183
"Маршала Говорова ул., д.7",201\133,154\106
"Маршала Говорова ул., д.11/3",64\196,96\224
"Маршала Говорова ул., д.15",46\54,55\56
"Маршала Говорова ул., д.16",,7117\2830
"Маршала Говорова ул., д.17",70\112,75\140
"Маршала Говорова ул., д.21",409\273,303\186
"Маршала Говорова ул., д.22, к.2",99\242,215\207
"Маршала Говорова ул., д.23",541\336,384\216
"Маршала Говорова ул., д.24",502\364,497\351
"Маршала Говорова ул., д.26, к.2",175\104,169\107
"Маршала Жукова пр., д.18а",444\360,335\279
"Маршала Жукова пр., д.18б",1576\829,1400\803
"Маршала Жукова пр., д.18в",1961\1164,2788\966
"Маршала Жукова пр., д.18г",369\458,352\381
"Маршала Жукова пр., д.18д",218\1000,240\1006
"Маршала Жукова пр., д.26/16а",573\584,739\724
"Маршала Жукова пр., д.26/16б",1241\777,1451\896
"Маршала Жукова пр., д.26/16в",1610\1244,1673\1215
"Маршала Жукова пр., д.28, к.1",1989\1013,1959\1033
"Маршала Жукова пр., д.30, к.2а",1020\720,990\750
"Маршала Жукова пр., д.30, к.2б",1261\974,1311\945
"Маршала Жукова пр., д.30, к.2в",2696\1535,2573\1563
"Маршала Жукова пр., д.30, к.2г",1166\850,1091\787
"Маршала Жукова пр., д.30, к.2д",2300\1670,1804\851
"Маршала Жукова пр., д.30, к.2е",1006\800,981\718
"Маршала Жукова пр., д.30, к.2ж",1711\1132,1722\685
"Маршала Жукова пр., д.32, к.1",2171\1480,2865\1886
"Маршала Жукова пр., д.34, к.1а",998\826,1057\685
"Маршала Жукова пр., д.34, к.1б",299\68,290\72
"Маршала Жукова пр., д.34, к.1в",1407\1399,1491\1407
"Маршала Жукова пр., д.34, к.1г",741\314,623\321
"Маршала Жукова пр., д.34, к.1д",579\131,560\138
"Маршала Жукова пр., д.34, к.1е",878\198,852\214
"Маршала Казакова ул., д.1, к.2",1276\748,1099\653
"Маршала Казакова ул., д.3, к.1",1479\957,1258\683
"Маршала Казакова ул., д.5, к.1а",666\555,618\495
"Маршала Казакова ул., д.5, к.1б",1469\994,1294\844
"Маршала Казакова ул., д.10, к.1а",1758\1130,1205\725
"Маршала Казакова ул., д.10, к.1б",1355\615,356\481
"Маршала Казакова ул., д.10, к.1в",1135\976,1032\742
"Маршала Казакова ул., д.10, к.1д",805\176,638\141
"Маршала Казакова ул., д.13",2149\780,1666\717
"Метростроевцев ул., д.2",0\202,0\199
"Метростроевцев ул., д.3",115\56,118\51
"Морской пехоты ул., д.4",2597\1765,2350\1392
"Морской пехоты ул., д.6, к.1",1760\494,1522\526
"Морской пехоты ул., д.10, к.1",2788\1356,2523\1232
"Морской пехоты ул., д.14",3500\743,3500\602
"Новаторов бул., д.1",213\267,187\297
"Новаторов бул., д.3",200\116,189\196
"Новоовсянниковская ул., д.9",200\100,201\101
"Новоовсянниковская ул., д.13",74\39,18\11
"Новостроек ул., д.8",25\18,56\32
"Новостроек ул., д.20",141\100,145\99
"Новостроек ул., д.25",17\117,72\146
"Новостроек ул., д.27",0\26,400\300
"Новостроек ул., д.28",147\112,157\108
"Новостроек ул., д.29",17\111,23\113
"Новостроек ул., д.31",78\133,147\165
"Новостроек ул., д.33",136\118,157\124
"Новостроек ул., д.35",63\42,99\54
"Оборонная ул., д.3",8\283,8\283
"Оборонная ул., д.4",510\324,448\293
"Оборонная ул., д.5",,132\132
"Оборонная ул., д.6",231\5,143\11
"Оборонная ул., д.7/20",5\21,5\21
"Оборонная ул., д.14",124\70,69\50
"Оборонная ул., д.15",5\6,5\6
"Оборонная ул., д.17/13",71\122,34\43
"Оборонная ул., д.19",50\23,55\25
"Оборонная ул., д.20/18",89\43,89\43
"Оборонная ул., д.23/17",95\54,76\43
"Оборонная ул., д.27",70\35,85\42
"Огородный пер., д.4, к.3",277\208,268\210
"Огородный пер., д.6, к.1",740\363,708\358
"Промышленная ул., д.26",142\73,48\51
"Промышленная ул., д.28",88\45,65\33
"Промышленная ул., д.30",19\13,23\1
"Промышленная ул., д.34",78\42,59\31
"Промышленная ул., д.36",21\11,12\6
"Промышленная ул., д.38",30\14,32\17
"Севастопольская ул., д.6",200\0,200\0
"Севастопольская ул., д.34",10\3,9\2
"Стачек пр., д.1",297\31,223\321
"Стачек пр., д.2/2",64\46,66\58
"Стачек пр., д.4/1",104\114,104\114
"Стачек пр., д.6",20\82,5\100
"Стачек пр., д.9",,106.01\151
"Стачек пр., д.10",,83\145
"Стачек пр., д.11",3\3,354\240
"Стачек пр., д.17",570\376,264\249
"Стачек пр., д.19",843\563,532\438
"Стачек пр., д.21",2839\1336,1966\923
"Стачек пр., д.22",29\53,116\58
"Стачек пр., д.22а",717\350,937\506
"Стачек пр., д.23",896\458,639\291
"Стачек пр., д.29",52\62,53\57
"Стачек пр., д.33/2",397\500,19\2722
"Стачек пр., д.34, к.2",109\76,112\78
"Стачек пр., д.35",31\24,30\32
"Стачек пр., д.41",,367\300
"Стачек пр., д.42",9\19,12\16
"Стачек пр., д.95, к.1",1132\709,2257\1515
"Стачек пр., д.101, к.1а",1094\590,931\524
"Стачек пр., д.101, к.1б",785\2046,821\2031
"Стачек пр., д.101, к.1в",2742\1443,2314\1238
"Стачек пр., д.101, к.1г",1038\645,837\500
"Стачек пр., д.101, к.1д",1118\690,976\605
"Стачек пр., д.103, к.1",1586\2026,1322\1464
"Стачек пр., д.105, к.2а",683\444,644\422
"Стачек пр., д.105, к.2б",951\1055,877\829
"Стачек пр., д.105, к.2в",1800\1088,1770\987
"Стачек пр., д.105, к.2г",948\783,936\668
"Стачек пр., д.105, к.2д",2518\1317,2510\1184
"Стачек пр., д.105, к.2е",1133\804,1097\730
"Стачек пр., д.105, к.2ж",2302\1324,2186\1301
"Стачек пр., д.105, к.2з",1054\751,916\660
"Стачек пр., д.107, к.1",733\425,962\457
"Тракторная ул., д.3",32\49,30\45
"Тракторная ул., д.4",21\39,17\41
"Тракторная ул., д.4а",42\318,39\239
"Тракторная ул., д.5",76\96,69\87
