"Двинская ул., д.9",299.18\151.9,289.881\149.9
"Двинская ул., д.10",317.86\284,428.74\315
"Двинская ул., д.11",335.65\199.75,350.65\198.75
"Двинская ул., д.14",303.75\207.95,234.092\149.95
"Двинская ул., д.14, к.4",1384\441,1424\444
"Двинская ул., д.16, к.1",3936.8\1676.9,4317.22\1870.9
"Двинская ул., д.17",620.8\289.6,634.8\298.6
"Зайцева ул., д.3",453.99\614.95,587.95\897.95
"Зайцева ул., д.17/23",1449.6\565.2,1366.85\608.2
"Зайцева ул., д.18/16",140.93\80.15,165.89\125.15
"Зайцева ул., д.19/18",255.95\198.6,371.95\248.6
"Зайцева ул., д.20",326.1\226.25,548.1\317.25
"Зайцева ул., д.21",33.9\18.6,33.9\17.6
"Зайцева ул., д.22/13",978.63\456.55,1327.37\588.55
"Зайцева ул., д.25",107\81.45,204\143.45
"Зайцева ул., д.26",350.07\.15,350.07\1.15
"Зайцева ул., д.29",33.1\34.35,56.1\48.35
"Зайцева ул., д.31",438.65\284.7,539.65\331.7
"Зайцева ул., д.32",182.5\140.25,239.5\165.25
"Зайцева ул., д.33",386.58\307.9,389.98\286.9
"Зайцева ул., д.34",110.95\51.6,128.95\61.6
"Зайцева ул., д.36",344.5\216.65,409.5\248.65
"Зайцева ул., д.37",288.55\170.1,290.25\166.1
"Зайцева ул., д.39",247.1\175.75,328.1\217.75
"Зины Портновой ул., д.4",75.65\85.05,100.65\88.05
"Зины Портновой ул., д.6",396.35\417,387.35\336
"Зины Портновой ул., д.8",371.3\329.65,388.3\292.65
"Зины Портновой ул., д.10",344.5\284.9,385.5\269.9
"Зины Портновой ул., д.12",211.1\220.25,264.1\222.25
"Зины Портновой ул., д.14",330.85\338.4,411.85\327.4
"Зины Портновой ул., д.16",567.7\285.45,598.7\303.45
"Зины Портновой ул., д.18",371.45\342.8,404.45\312.8
"Зины Портновой ул., д.20",95.25\108.05,134.25\115.05
"Зины Портновой ул., д.22",57.15\52.9,96.15\71.9
"Зины Портновой ул., д.24",167.9\192.8,283.9\245.8
"Зины Портновой ул., д.26",247.9\260.8,296.9\249.8
"Зины Портновой ул., д.28",576.55\279.6,467.55\241.6
"Зины Портновой ул., д.30",434.3\361.1,488.3\346.1
"Зои Космодемьянской ул., д.3",222.49\305.5,86.64\256.5
"Зои Космодемьянской ул., д.5",191.47\203.3,996.97\376.3
"Зои Космодемьянской ул., д.6, к.1",579.35\256.75,575.25\243.75
"Зои Космодемьянской ул., д.8/17",98.55\16.4,98.55\38.4
"Зои Космодемьянской ул., д.16/24",57.56\44.1,61.407\28.1
"Зои Космодемьянской ул., д.17/26",267.44\202.6,250.078\162.6
"Зои Космодемьянской ул., д.21",662.8\61.85,796.8\61.85
"Зои Космодемьянской ул., д.23",156.45\38.6,156.45\38.6
"Зои Космодемьянской ул., д.25/20",89.5\61.05,117.5\77.05
"Зои Космодемьянской ул., д.29",39.4\120.25,39.4\44.25
"Ивана Черных ул., д.1",80.78\53.55,66.859\43.55
"Ивана Черных ул., д.3",213.3\79.3,214.3\93.3
"Ивана Черных ул., д.3, к.2",175.9\93.9,203.9\104.9
"Ивана Черных ул., д.13а",112.5\96,184.5\138
"Ивана Черных ул., д.13б",294.35\245.4,354.35\268.4
"Ивана Черных ул., д.15а",226.65\152.05,329.65\206.05
"Ивана Черных ул., д.15б",27.7\26,48.7\41
"Ивана Черных ул., д.19",151.8\124.8,229.8\160.8
"Канонерский о., д.7",7088.1\3615.2,6920.1\3529.2
"Канонерский о., д.8",4343.4\1495.3,4695.35\1653.3
"Канонерский о., д.9",2395.5\929.25,2455.5\899.25
"Канонерский о., д.10",3231.5\1348.3,3151.5\1248.25
"Канонерский о., д.12",772.25\401,802.25\419
"Канонерский о., д.12, к.2",706.4\369.1,781.4\400.1
"Канонерский о., д.13",417.45\354.8,524.45\388.8
"Канонерский о., д.14",378.05\307.95,408.05\285.95
"Канонерский о., д.15",401.51\0,401.51\123
"Канонерский о., д.16",173.65\111.4,151.65\96.4
"Канонерский о., д.25",247.8\86.4,265.8\99.4
"Корнеева ул., д.2",425.03\345.55,425.03\331.55
"Корнеева ул., д.6",1905.2\435.9,1661.63\376.9
"Косинова ул., д.5",2069\760,147.06\0
"Косинова ул., д.7",28.52\18.3,46.92\38.3
"Косинова ул., д.9/9",62.15\50.2,86.15\56.2
"Косинова ул., д.14, к.1",440.55\342.2,580.55\404.2
"Косинова ул., д.14, к.2",214.9\319.2,214.9\337.2
"Краснопутиловская ул., д.16/13",1096.9\640.6,869.89\493.6
"Краснопутиловская ул., д.18",140.15\88.1,134.15\80.1
"Краснопутиловская ул., д.20",283.48\188.8,422.88\265.8
"Краснопутиловская ул., д.26",502.2\289.8,815.24\409.8
"Краснопутиловская ул., д.28/20",260.02\239.4,739.06\294.4
"Ленинский пр., д.110, к.1а",620.7\572.55,538.7\477.55
"Ленинский пр., д.110, к.1б",2983.95\2452.75,3374.95\2614.75
"Ленинский пр., д.120, к.2",254\173,167\110
"Ленинский пр., д.124",4083.05\1899.85,3558.07\1671.85
"Ленинский пр., д.130, к.2",1238.1\698.9,938.1\236.9
"Майков пер., д.3",125.22\0,79\55
"Майков пер., д.5а",154\84,43\23
"Майков пер., д.7/1",98\50.5,143\74.5
"Маршала Говорова ул., д.3/7",404.2\0,404.2\0
"Маршала Говорова ул., д.5/4",378.88\312.45,518.11\390.45
"Маршала Говорова ул., д.6/5",334.45\242.35,341.03\223.35
"Маршала Говорова ул., д.7",300.7\185.15,240.7\137.15
"Маршала Говорова ул., д.11/3",171.3\35.45,177.74\33.45
"Маршала Говорова ул., д.15",70.45\104.75,110.41\127.75
"Маршала Говорова ул., д.16",4204.4\1549.2,4880.4\1794.15
"Маршала Говорова ул., д.17",125.41\114.3,138.43\101.3
"Маршала Говорова ул., д.21",340.75\186.9,427.75\224.9
"Маршала Говорова ул., д.22/10",460\338,483.92\319
"Маршала Говорова ул., д.22, к.2",140.94\132.25,127.51\112.25
"Маршала Говорова ул., д.23",228.55\118.95,314.55\158.95
"Маршала Говорова ул., д.24",534.35\358.8,561.35\362.8
"Маршала Говорова ул., д.26, к.2",323.35\164.85,266.35\136.85
"Маршала Жукова пр., д.18а",1101.95\452.2,1336.95\577.2
"Маршала Жукова пр., д.18б",2241.13\1091.6,3450.86\1644.6
"Маршала Жукова пр., д.18в",1988.9\1600.6,3769.85\1973.6
"Маршала Жукова пр., д.18г",1491.03\940,1967.33\1055
"Маршала Жукова пр., д.18д",1099.65\637.1,1449.65\770.1
