"Автовская ул., д.21",374\211,367\226
"Автовская ул., д.22",245\0,245\0
"Автовская ул., д.25",161\209,164\122
"Автовская ул., д.26/37",519\295,453\265
"Автовская ул., д.28/30",189\143,119\182
"Автовская ул., д.29",768\374,810\388
"Автовская ул., д.30",95\73,96\83
"Автовская ул., д.32",117\92,96\77
"Автовская ул., д.34",139\148,120\72
"Автовская ул., д.38",49\32,40\28
"Автовская ул., д.40",129\125,100\113
"Автовская ул., д.46",6\8,3\8
"Автовская ул., д.52",120\142,84.7\114
"Балтийская ул., д.2/14",427\194,425\190
"Балтийская ул., д.12",183\166,207\192
"Балтийская ул., д.14",520\264,554\284
"Балтийская ул., д.17",46\36,47\39
"Балтийская ул., д.17, к.2",644\284,515\260
"Балтийская ул., д.18",24\14,16\12
"Балтийская ул., д.19а",16\11,16\12
"Балтийская ул., д.19б",9\6,9\6
"Балтийская ул., д.20",15\11,14\10
"Балтийская ул., д.21",17\9,10\5
"Балтийская ул., д.21, к.2",17\9,18\9
"Балтийская ул., д.22",11\9,10\8
"Балтийская ул., д.23",24\13,12\5
"Балтийская ул., д.24",87\43,74\39
"Балтийская ул., д.25",83\40,95\52
"Балтийская ул., д.27",77\39,58\26
"Балтийская ул., д.32а",52\30,59\38
"Балтийская ул., д.32д",20\12,22\15
"Балтийская ул., д.34",3\0,3\0
"Балтийская ул., д.36/9",58\29,85\43
"Балтийская ул., д.38",235\163,140\184
"Баррикадная ул., д.3",132\84,101\90
"Баррикадная ул., д.4",134\68,216\98
"Баррикадная ул., д.5",155\204,154\217
"Баррикадная ул., д.34",58\33,63\35
"Белоусова ул., д.3",33\20,29\18
"Белоусова ул., д.5",77\50,63\42
"Белоусова ул., д.6/42",266\150,189\130
"Белоусова ул., д.10",175\79,158\75
"Белоусова ул., д.14/41",3\3,3\3
"Белоусова ул., д.16",73\36,78\35
"Белоусова ул., д.18",129\75,226\115
"Белоусова ул., д.18, к.1",103\122,82\103
"Белоусова ул., д.20",47\23,47\23
"Белоусова ул., д.22",16\8,17\8
"Белоусова ул., д.24/32",16\29,7\23
