"Автовская ул., д.21",393\207,292\153
"Автовская ул., д.22",392\224,239\151
"Автовская ул., д.25",150\143,141\100
"Автовская ул., д.26/37",,315\219
"Автовская ул., д.28/30",181\211,154\129
"Автовская ул., д.29",815\181,686\139
"Автовская ул., д.30",83\81,45\51
"Автовская ул., д.32",0\102,77\96
"Автовская ул., д.34",142\138,234\102
"Автовская ул., д.38",52\63,37\31
"Автовская ул., д.40",200\182,153\152
"Автовская ул., д.46",101\55,92\46
"Автовская ул., д.52",118\149,110\118
"Балтийская ул., д.2/14",345\224,341\220
"Балтийская ул., д.12",303.34\176,300\100
"Балтийская ул., д.14",872\442,859\437
"Балтийская ул., д.17",143\108,144\109
"Балтийская ул., д.17, к.2",3341.409\1804.361,3341\1804
"Балтийская ул., д.18",36\57,40\52
"Балтийская ул., д.19",74\85,68\74
"Балтийская ул., д.20",8\43,22\39
"Балтийская ул., д.21",34\21,32\19
"Балтийская ул., д.22",7\34,17\30
"Балтийская ул., д.23",19\10,19\10
"Балтийская ул., д.24",50\30,382\353
"Балтийская ул., д.25",122\62,119\54
"Балтийская ул., д.27",51\27,47\29
"Балтийская ул., д.32",80.07\74,77\72
"Балтийская ул., д.34",2.01\0,32\0
"Балтийская ул., д.36/9",205.5\176,171\157
"Балтийская ул., д.38",148\158,156\140
"Баррикадная ул., д.3",201\1,201\0
"Баррикадная ул., д.4",205\150,44\22
"Баррикадная ул., д.34",84\43,40\23
"Белоусова ул., д.3",29\35,13\33
"Белоусова ул., д.5",45\64,36\44
"Белоусова ул., д.6/42",,262\64
"Белоусова ул., д.10",87.17\90,2\30
"Белоусова ул., д.14/41",120\60,35\15
"Белоусова ул., д.16",98.78\95,99\95
"Белоусова ул., д.18",65\36,46\26
"Белоусова ул., д.18, к.1",91\43,57\32
"Белоусова ул., д.20",39\34,34\31
"Белоусова ул., д.22",,1088\535
"Белоусова ул., д.24/32",8\13,98\2
"Васи Алексеева ул., д.7",76\11,0\32
"Васи Алексеева ул., д.9",51\61,40\48
"Васи Алексеева ул., д.10",503\343,359\246
"Васи Алексеева ул., д.11",85\107,173\162
"Васи Алексеева ул., д.17",758\39,84\87
"Васи Алексеева ул., д.20/24",210\262,254\184
"Васи Алексеева ул., д.21",312\213,204\147
"Васи Алексеева ул., д.22",402\514,309\377
"Васи Алексеева ул., д.24",231\203,242\165
"Васи Алексеева ул., д.25",193\247,138\182
