"Автовская ул., д.21",392\203,403\204
"Автовская ул., д.22",191.158\160,194\163
"Автовская ул., д.25",121\82,108\95
"Автовская ул., д.26/37",611.228\341,618\338
"Автовская ул., д.28/30",144\138,131\135
"Автовская ул., д.29",826.02\385,784\384
"Автовская ул., д.30",61\56,76\63
"Автовская ул., д.32",51.761\51,52\51
"Автовская ул., д.34",85\52,78\52
"Автовская ул., д.38",70\46,47\33
"Автовская ул., д.40",134\137,136\145
"Автовская ул., д.46",87\47,72\50
"Автовская ул., д.52",99\111,98\117
"Балтийская ул., д.2/14",501.5\251,487\273
"Балтийская ул., д.12",230.763\189.6,266\219
"Балтийская ул., д.14",633.36\309,631\307
"Балтийская ул., д.17",16.2\14,18\13
"Балтийская ул., д.17, к.2",377.4\197.6,342\184
"Балтийская ул., д.18",54\32,25\22
"Балтийская ул., д.19а",10.553\17.1,14\9
"Балтийская ул., д.19б",5.467\4.44,7\4
"Балтийская ул., д.20",8.6\12.4,10\13
"Балтийская ул., д.21",1\0,1\0
"Балтийская ул., д.21, к.2",27\14,21\10
"Балтийская ул., д.22",6.7\9.6,7\10
"Балтийская ул., д.23",52\23,136\23
"Балтийская ул., д.24",68.62\36,31\26
"Балтийская ул., д.25",117\58,109\55
"Балтийская ул., д.27",53.1\25.3,74\48
"Балтийская ул., д.32а",70.256\45,63\42
"Балтийская ул., д.32д",26.703\17,24\16
"Балтийская ул., д.34",25\0,34\0
"Балтийская ул., д.36/9",103\59,86\47
"Балтийская ул., д.38",119\102,111\102
"Баррикадная ул., д.3",115\67,133\84
"Баррикадная ул., д.4",99\51,94\48
"Баррикадная ул., д.5",107\154,194\221
"Баррикадная ул., д.34",74\38,78\39
"Белоусова ул., д.3",38\20,39\24
"Белоусова ул., д.5",56\49,56\51
"Белоусова ул., д.6/42",328\176,336\188
"Белоусова ул., д.10",246.75\152,225\170
"Белоусова ул., д.14/41",8\3,6\3
"Белоусова ул., д.16",126\66,58\34
"Белоусова ул., д.18",113.4\51.2,94\48
"Белоусова ул., д.18, к.1",146\128,115\114
"Белоусова ул., д.20",56\30,71\38
"Белоусова ул., д.22",28.9\8,18\9
"Белоусова ул., д.24/32",64.61\46,63\37
"Васи Алексеева ул., д.7",37\27,25\23
"Васи Алексеева ул., д.9",22\11,11\7
"Васи Алексеева ул., д.10",444\211,317\0
"Васи Алексеева ул., д.11",99\77,97\80
"Васи Алексеева ул., д.16",,202\151
"Васи Алексеева ул., д.17",194\135,185\129
"Васи Алексеева ул., д.20/24",161.3\104,159\90
"Васи Алексеева ул., д.21",30\15,28\17
"Васи Алексеева ул., д.22",607.68\446,604\433
"Васи Алексеева ул., д.24",225\148,218\135
"Васи Алексеева ул., д.25",99\66,95\63
"Васи Алексеева ул., д.26",260.7\232,257\226
"Васи Алексеева ул., д.28",156\115,171\126
"Васи Алексеева ул., д.30",446\329,398\336
"Возрождения ул., д.7/25",184.14\121,254\151
"Возрождения ул., д.9",12.48\9,11\8
"Возрождения ул., д.15",59.4\80,65\73
"Возрождения ул., д.19/38",473.37\348,472\343
"Возрождения ул., д.23",86\40,74\39
"Возрождения ул., д.25",81\41,89\47
"Возрождения ул., д.27",155\86,155\85
"Гладкова ул., д.1",33\39,22\46
"Гладкова ул., д.1а",59.4\27,53\28
"Гладкова ул., д.7/10",9\34,11\23
"Гладкова ул., д.11",31\14,24\16
"Гладкова ул., д.13",19\21,7\10
"Гладкова ул., д.17",277\156,176\68
"Гладкова ул., д.19",29\40,55\72
"Гладкова ул., д.21",23\12,19\9
"Гладкова ул., д.23",76\122,85\112
"Гладкова ул., д.24/7",104\52,96\44
"Гладкова ул., д.25",235\178,355\225
"Гладкова ул., д.26",72\42,88\47
"Гладкова ул., д.29",70\114,80\107
"Гладкова ул., д.31/7",39\16,19\14
"Гладкова ул., д.33",150\81,220\100
"Гладкова ул., д.35",40\25,41\20
"Гладкова ул., д.39",18\15,11\5
"Гладкова ул., д.41",1\0,1\0
"Гладкова ул., д.43",35.64\26,42\32
"Губина ул., д.1/32",225\102,228\108
"Губина ул., д.3",61\31,61\31
"Губина ул., д.4",2.8\1,3\0
"Губина ул., д.5",106\63,138\296
"Губина ул., д.6",9\4,148\75
"Губина ул., д.8",222.3\51,209\58
"Губина ул., д.9, к.1",25.6\16,78\51
"Губина ул., д.9, к.2",33\23,30\12
"Губина ул., д.12",122\63,135\70
"Губина ул., д.13, к.1",41.5\0,41\0
"Губина ул., д.13, к.2",101\49,84\45
"Губина ул., д.14",90\47,82\46
"Губина ул., д.15",38\19,66\34
"Губина ул., д.18",42\20,53\27
"Губина ул., д.19/16",34\21,35\27
"Губина ул., д.20",40\18,41\90
"Губина ул., д.21",73\36,64\32
"Губина ул., д.22/21",30\15,35\15
"Губина ул., д.23/19",140\60,123\61
"Двинская ул., д.4",403\328,387\290
"Двинская ул., д.4, к.1",110\115,140\114
"Двинская ул., д.4, к.2",272\282,276\237
"Двинская ул., д.4, к.3",206\215,213\204
"Двинская ул., д.4, к.4",144\160,138\155
"Двинская ул., д.8",84.6\88,99\115
"Двинская ул., д.9",182.28\97,167\88
"Двинская ул., д.10",341.8\244.4,316\236
"Двинская ул., д.11",200\133,114\112
"Двинская ул., д.14",189\140,196\159
"Двинская ул., д.14, к.4",1404\406,1167\604
"Двинская ул., д.16, к.1",4013\1497.39,3573\1405
"Двинская ул., д.17",599\271,485\258
"Зайцева ул., д.3",674\683,668\629
"Зайцева ул., д.17/23",1449.48\703,1436\691
"Зайцева ул., д.18/16",135.36\93,139\97
"Зайцева ул., д.19/18",250\254,249\242
"Зайцева ул., д.20",361\254,319\200
"Зайцева ул., д.21",34\20,37\19
"Зайцева ул., д.22/13",771.74\412,769\408
"Зайцева ул., д.25",98\77,87\57
"Зайцева ул., д.26",248.562\0,249\0
"Зайцева ул., д.29",23\35,20\33
"Зайцева ул., д.31",218\168,196\164
"Зайцева ул., д.32",157\141,145\144
"Зайцева ул., д.33",246.5\220,272\242
"Зайцева ул., д.34",158\75,158\74
"Зайцева ул., д.36",264\169,254\172
"Зайцева ул., д.37",246.5\154,230\146
"Зайцева ул., д.39",163\120,195\173
"Зины Портновой ул., д.4",171\0,172\0
"Зины Портновой ул., д.6",143\191,139\194
"Зины Портновой ул., д.8",215\191,215\192
"Зины Портновой ул., д.10",73\127,70\104
"Зины Портновой ул., д.12",72\104,98\117
"Зины Портновой ул., д.14",123\221,193\194
"Зины Портновой ул., д.16",416\207,476\237
"Зины Портновой ул., д.18",194\208,206\407
"Зины Портновой ул., д.20",18.7\40.3,18\29
"Зины Портновой ул., д.22",38\53,41\53
"Зины Портновой ул., д.24",47\83,69\120
"Зины Портновой ул., д.26",64\161,82\172
"Зины Портновой ул., д.28",253\119,267\162
"Зины Портновой ул., д.30",179\208,196\235
"Зои Космодемьянской ул., д.3",232\248.7,232\147
"Зои Космодемьянской ул., д.5",787\367,596\291
"Зои Космодемьянской ул., д.6, к.1",466\186,435\195
"Зои Космодемьянской ул., д.8/17",16\18,26\9
"Зои Космодемьянской ул., д.15",90.396\57.4,77\9
"Зои Космодемьянской ул., д.16/24",53.1\36,52\36
"Зои Космодемьянской ул., д.17/26",63.24\39,60\43
"Зои Космодемьянской ул., д.21",24\71,437\87
"Зои Космодемьянской ул., д.23",167\43,153\45
"Зои Космодемьянской ул., д.25/20",104\60,97\74
"Зои Космодемьянской ул., д.29",12.1\28,11\29
"Ивана Черных ул., д.1",21.75\12,77\46
"Ивана Черных ул., д.3",196\113,198\111
"Ивана Черных ул., д.3, к.2",148.4\106,147\104
"Ивана Черных ул., д.13а",80.3\50,100\76
"Ивана Черных ул., д.13б",123\110,114\132
"Ивана Черных ул., д.15а",129\72,124\82
"Ивана Черных ул., д.15б",18\40,25\35
"Ивана Черных ул., д.19",91\109,89\105
"Ивана Черных ул., д.21",72.21\61,70\62
"Канонерский о., д.7",6227\3102,6227\2935
"Канонерский о., д.8",3924\1440,3877\1348
"Канонерский о., д.9",2640\1140,2607\945
"Канонерский о., д.10",2940\1710,2907\1490
"Канонерский о., д.12",701\292,701\288
"Канонерский о., д.12, к.2",528\298,501\282
"Канонерский о., д.13",408\375,422\377
"Канонерский о., д.14",321\321.2,278\255
"Канонерский о., д.16",107\51,136\58
"Канонерский о., д.25",227\82,212\85
"Корнеева ул., д.2",649\394,618\358
"Корнеева ул., д.6",1430\373,1151\325
"Косинова ул., д.5",35\18,37\19
"Косинова ул., д.7",17.48\31,30\51
"Косинова ул., д.9/9",64\34,34\29
"Косинова ул., д.14, к.1",217\284,248\263
"Косинова ул., д.14, к.2",126\85,151\104
"Краснопутиловская ул., д.16/13",910.74\492,879\441
"Краснопутиловская ул., д.18",69\48,64\45
"Краснопутиловская ул., д.20",283.05\198,272\181
"Краснопутиловская ул., д.26",610.6\322,600\315
"Краснопутиловская ул., д.28/20",453.12\241,452\200
"Ленинский пр., д.110, к.1а",273\210,237\389
"Ленинский пр., д.110, к.1б",1195\1075,1258\1088
"Ленинский пр., д.120, к.2",104\84,138\105
"Ленинский пр., д.124",1499\718,1832\720
"Ленинский пр., д.130, к.2",790\383,817\386
