"Автовская ул., д.21",24.34,24.34
"Автовская ул., д.22",83.51,75.52
"Автовская ул., д.25",52.52,65.36
"Автовская ул., д.26/37",99.75,82.72
"Автовская ул., д.28/30",80.09,98.77
"Автовская ул., д.29",33.76,45.24
"Автовская ул., д.30",35.26,39.86
"Автовская ул., д.32",85.51,92.47
"Автовская ул., д.34",58.24,53.02
"Автовская ул., д.38",32.27,36.50
"Автовская ул., д.40",75.24,88.99
"Автовская ул., д.46",68.40,67.50
"Автовская ул., д.52",47.53,53.41
"Балтийская ул., д.2/14",210.17,208.65
"Балтийская ул., д.12",65.64,54.97
"Балтийская ул., д.14",57.99,53.52
"Балтийская ул., д.17",32.21,39.02
"Балтийская ул., д.17, к.2",94.10,118.40
"Балтийская ул., д.18",23.51,22.52
"Балтийская ул., д.19",43.31,62.53
"Балтийская ул., д.20",13.65,13.65
"Балтийская ул., д.21",19.79,23.98
"Балтийская ул., д.22",15.49,15.49
"Балтийская ул., д.23",7.08,8.57
"Балтийская ул., д.24",22.03,22.35
"Балтийская ул., д.25",17.41,18.50
"Балтийская ул., д.27",12.81,13.61
"Балтийская ул., д.34",9.11,10.07
"Балтийская ул., д.36/9",102.46,113.25
"Балтийская ул., д.38",57.46,63.76
"Баррикадная ул., д.3",23.61,25.31
"Баррикадная ул., д.4",11.10,11.10
"Баррикадная ул., д.5",42.52,45.58
"Баррикадная ул., д.34",9.03,13.29
"Белоусова ул., д.3",23.54,24.55
"Белоусова ул., д.5",3.18,1.59
"Белоусова ул., д.6/42",56.47,56.47
"Белоусова ул., д.10",20.58,16.95
"Белоусова ул., д.14/41",12.80,14.72
"Белоусова ул., д.16",10.47,12.04
"Белоусова ул., д.18",13.06,15.01
"Белоусова ул., д.18, к.1",24.89,28.62
"Белоусова ул., д.20",34.31,30.99
"Белоусова ул., д.22",30.47,23.57
"Белоусова ул., д.24/32",31.83,32.86
"Васи Алексеева ул., д.7",55.46,63.08
"Васи Алексеева ул., д.9",56.35,56.56
"Васи Алексеева ул., д.10",86.41,77.45
"Васи Алексеева ул., д.11",50.89,58.62
"Васи Алексеева ул., д.16",68.58,79.76
"Васи Алексеева ул., д.17",68.72,80.00
"Васи Алексеева ул., д.20/24",147.22,147.22
"Васи Алексеева ул., д.21",97.70,108.91
"Васи Алексеева ул., д.22",120.12,117.45
"Васи Алексеева ул., д.24",71.71,76.16
"Васи Алексеева ул., д.25",48.23,60.84
"Васи Алексеева ул., д.26",70.72,72.11
"Васи Алексеева ул., д.28",66.52,76.64
"Васи Алексеева ул., д.30",114.18,116.43
"Возрождения ул., д.7/25",129.50,140.93
"Возрождения ул., д.9",54.03,71.01
"Возрождения ул., д.15",58.60,52.17
"Возрождения ул., д.19/38",139.23,152.55
"Возрождения ул., д.23",56.80,46.60
"Возрождения ул., д.25",56.42,55.13
"Возрождения ул., д.27",40.18,32.40
"Гладкова ул., д.1",12.30,13.82
"Гладкова ул., д.1а",13.97,15.69
"Гладкова ул., д.7/10",27.53,26.49
"Гладкова ул., д.11",8.67,12.30
"Гладкова ул., д.13",6.44,9.13
"Гладкова ул., д.17",12.48,8.46
"Гладкова ул., д.19",17.71,12.00
"Гладкова ул., д.21",17.77,12.04
"Гладкова ул., д.23",37.42,46.42
"Гладкова ул., д.24/7",19.90,25.40
"Гладкова ул., д.25",89.24,97.01
"Гладкова ул., д.26",21.11,26.99
"Гладкова ул., д.29",35.56,40.13
"Гладкова ул., д.31/7",18.37,14.86
"Гладкова ул., д.33",19.79,16.02
"Гладкова ул., д.35",18.28,14.79
"Гладкова ул., д.39",20.36,16.16
"Гладкова ул., д.41",16.22,16.19
"Гладкова ул., д.43",25.02,20.73
"Губина ул., д.1/32",28.40,22.53
"Губина ул., д.3",14.13,11.21
"Губина ул., д.4",8.89,11.60
"Губина ул., д.5",28.77,22.82
"Губина ул., д.6",15.66,15.77
"Губина ул., д.8",13.25,10.72
"Губина ул., д.9, к.1",28.39,28.44
"Губина ул., д.9, к.2",21.16,27.08
"Губина ул., д.13, к.1",29.45,27.61
"Губина ул., д.13, к.2",19.40,23.22
"Губина ул., д.19/16",15.59,14.60
"Губина ул., д.20",13.97,12.94
"Губина ул., д.21",10.70,10.44
"Губина ул., д.22/21",16.09,14.91
"Губина ул., д.23/19",15.84,14.84
"Двинская ул., д.4",83.31,108.35
"Двинская ул., д.4, к.1",18.67,49.77
"Двинская ул., д.4, к.2",77.46,85.83
"Двинская ул., д.4, к.3",61.58,73.19
"Двинская ул., д.4, к.4",16.08,45.60
"Двинская ул., д.8",20.11,85.89
"Двинская ул., д.9",54.84,58.51
"Двинская ул., д.10",190.64,201.84
"Двинская ул., д.11",84.72,94.16
"Двинская ул., д.14",105.52,126.98
"Двинская ул., д.14, к.4",231.78,247.62
"Двинская ул., д.15",249.77,283.39
"Двинская ул., д.16, к.1",367.55,373.97
"Двинская ул., д.16, к.3",118.32,143.25
"Двинская ул., д.17",45.27,47.72
"Зайцева ул., д.3",100.32,102.25
"Зайцева ул., д.17/23",122.31,113.09
"Зайцева ул., д.18/16",125.35,153.97
"Зайцева ул., д.19/18",89.19,90.63
"Зайцева ул., д.20",81.18,88.86
"Зайцева ул., д.21",39.30,39.99
"Зайцева ул., д.22/13",138.04,157.73
"Зайцева ул., д.25",58.33,61.89
"Зайцева ул., д.26",78.67,87.05
"Зайцева ул., д.29",29.59,20.64
"Зайцева ул., д.31",91.55,85.10
"Зайцева ул., д.32",48.92,49.45
"Зайцева ул., д.33",81.49,86.81
"Зайцева ул., д.34",45.14,48.11
"Зайцева ул., д.36",54.41,49.48
"Зайцева ул., д.37",94.40,104.36
"Зайцева ул., д.39",76.14,92.18
"Зины Портновой ул., д.4",50.59,58.72
"Зины Портновой ул., д.6",46.33,58.19
"Зины Портновой ул., д.8",49.54,54.52
"Зины Портновой ул., д.10",47.15,57.72
"Зины Портновой ул., д.12",47.57,23.32
"Зины Портновой ул., д.14",50.36,65.70
"Зины Портновой ул., д.16",34.05,27.22
"Зины Портновой ул., д.18",50.68,58.38
"Зины Портновой ул., д.20",50.60,55.57
"Зины Портновой ул., д.22",52.38,59.93
"Зины Портновой ул., д.24",50.61,55.52
"Зины Портновой ул., д.26",49.66,50.54
"Зины Портновой ул., д.28",25.76,31.41
"Зины Портновой ул., д.30",50.27,47.84
"Зои Космодемьянской ул., д.3",84.36,103.03
"Зои Космодемьянской ул., д.5",24.61,30.06
"Зои Космодемьянской ул., д.17/26",59.92,58.95
"Зои Космодемьянской ул., д.21",14.19,13.29
"Зои Космодемьянской ул., д.27",23.37,29.85
"Зои Космодемьянской ул., д.29",20.60,26.32
"Ивана Черных ул., д.1",38.10,39.87
"Ивана Черных ул., д.3, к.2",23.51,24.60
"Ивана Черных ул., д.13",100.95,124.60
"Ивана Черных ул., д.15",101.00,99.20
"Ивана Черных ул., д.19",53.75,64.00
"Ивана Черных ул., д.21",37.37,44.49
"Калинина ул., д.8, к.1",12.30,12.00
"Калинина ул., д.10",0.10,0.10
"Канонерский о., д.7",257.76,287.60
"Канонерский о., д.8",225.16,226.01
"Канонерский о., д.9",118.70,136.08
"Канонерский о., д.10",112.17,123.59
"Канонерский о., д.11, к.1",125.37,133.13
"Канонерский о., д.12",63.29,77.16
"Канонерский о., д.12, к.2",60.14,131.06
"Канонерский о., д.13",67.42,74.82
"Канонерский о., д.14",70.53,75.29
"Канонерский о., д.15",61.41,62.32
"Канонерский о., д.16",96.67,114.31
"Канонерский о., д.17",26.51,36.10
"Корнеева ул., д.2",57.91,61.39
"Корнеева ул., д.6",239.15,262.50
"Косинова ул., д.5",23.54,22.67
"Косинова ул., д.7",11.74,11.31
"Косинова ул., д.9/9",23.11,22.26
"Косинова ул., д.14, к.1",72.31,66.96
"Косинова ул., д.14, к.2",76.80,72.05
"Краснопутиловская ул., д.16/13",116.68,130.07
"Краснопутиловская ул., д.18",110.80,107.50
"Краснопутиловская ул., д.20",98.45,109.39
"Краснопутиловская ул., д.26",106.99,109.01
"Краснопутиловская ул., д.28/20",129.03,134.88
"Ленинский пр., д.110, к.1а",87.78,75.52
"Ленинский пр., д.110, к.1б",374.86,351.24
"Ленинский пр., д.120, к.2",49.41,50.83
"Ленинский пр., д.124",248.92,283.20
"Майков пер., д.3",12.71,13.51
"Майков пер., д.5",17.90,19.03
"Майков пер., д.5а",12.67,13.46
"Майков пер., д.7/1",16.02,17.03
"Маршала Говорова ул., д.3/7",94.88,104.42
"Маршала Говорова ул., д.5/4",149.45,178.53
"Маршала Говорова ул., д.6/5",99.83,126.47
"Маршала Говорова ул., д.7",48.94,55.17
"Маршала Говорова ул., д.11/3",134.61,154.73
"Маршала Говорова ул., д.15",86.05,60.99
"Маршала Говорова ул., д.16",243.55,205.58
"Маршала Говорова ул., д.17",58.41,59.47
"Маршала Говорова ул., д.21",54.87,58.88
"Маршала Говорова ул., д.22/10",144.75,155.92
"Маршала Говорова ул., д.22, к.2",68.59,82.44
"Маршала Говорова ул., д.23",55.03,55.34
"Маршала Говорова ул., д.24",79.06,78.09
"Маршала Говорова ул., д.26, к.2",38.34,36.07
"Маршала Жукова пр., д.18а",90.65,92.87
"Маршала Жукова пр., д.18б",76.52,81.87
"Маршала Жукова пр., д.18в",309.00,245.49
"Маршала Жукова пр., д.18г",91.60,97.24
"Маршала Жукова пр., д.18д",58.82,69.63
"Маршала Жукова пр., д.20",68.42,55.56
"Маршала Жукова пр., д.22",137.13,89.05
"Маршала Жукова пр., д.26/16а",95.99,103.28
"Маршала Жукова пр., д.26/16б",98.07,89.70
"Маршала Жукова пр., д.26/16в",312.02,298.31
"Маршала Жукова пр., д.28, к.1",290.41,263.16
"Маршала Жукова пр., д.30, к.2а",108.98,116.97
"Маршала Жукова пр., д.30, к.2б",116.80,119.81
"Маршала Жукова пр., д.30, к.2в",220.92,262.75
"Маршала Жукова пр., д.30, к.2г",101.46,107.45
"Маршала Жукова пр., д.30, к.2д",244.95,258.57
