"Канонерский о., д.14",637\404,458\348
"Канонерский о., д.16",285\160,306\194
"Канонерский о., д.17",102\51,85\42
"Канонерский о., д.25",1161\554,1320\619
"Корнеева ул., д.2",485\260,923\513
"Корнеева ул., д.6",1685\384,2216\561
"Косинова ул., д.5",72\34,57\39
"Косинова ул., д.7",113\54,72\37
"Косинова ул., д.9/9",130\62,66\33
"Краснопутиловская ул., д.16/13",39\70,191\98
"Краснопутиловская ул., д.18",158\85,95\53
"Краснопутиловская ул., д.20",354\163,320\153
"Краснопутиловская ул., д.26",737\337,552\244
"Краснопутиловская ул., д.28/20",918\488,1125\601
"Ленинский пр., д.110, к.1а",527\351,667\288
"Ленинский пр., д.110, к.1б",3775\2774,3009\2716
"Ленинский пр., д.120, к.2",296\174,198\137
"Ленинский пр., д.124",4388\1751,3481\1406
"Майков пер., д.3",174\104,74\70
"Майков пер., д.5а",208\131,143\87
"Майков пер., д.7/1",113\57,89\48
"Маршала Говорова ул., д.5/4",1140\710,928\602
"Маршала Говорова ул., д.6/5",698\461,502\394
"Маршала Говорова ул., д.7",350\199,324\191
"Маршала Говорова ул., д.11/3",570\303,500\313
"Маршала Говорова ул., д.15",197\140,156\137
"Маршала Говорова ул., д.17",269\167,250\160
"Маршала Говорова ул., д.21",589\309,580\300
"Маршала Говорова ул., д.23",554\282,451\244
"Маршала Говорова ул., д.24",542\348,878\509
"Маршала Говорова ул., д.26, к.2",325\166,343\178
"Маршала Жукова пр., д.18а",706\487,528\426
"Маршала Жукова пр., д.18б",2871\1428,2189\1074
"Маршала Жукова пр., д.18в",3194\1733,2939\1730
"Маршала Жукова пр., д.18г",1206\1029,869\937
"Маршала Жукова пр., д.18д",595\967,383\520
"Маршала Жукова пр., д.26/16а",1026\886,954\870
"Маршала Жукова пр., д.26/16б",2042\1060,1786\1082
"Маршала Жукова пр., д.26/16в",3692\1665,2550\1922
"Маршала Жукова пр., д.28, к.1",3127\1844,2534\1648
"Маршала Жукова пр., д.30, к.2а",1140\750,1530\1110
"Маршала Жукова пр., д.30, к.2б",1809\1065,2676\1645
"Маршала Жукова пр., д.30, к.2в",2397\1143,3389\1393
"Маршала Жукова пр., д.30, к.2г",1445\1228,2996\1803
"Маршала Жукова пр., д.30, к.2д",2064\1166,3081\1938
"Маршала Жукова пр., д.30, к.2е",1633\968,2439\1645
"Маршала Жукова пр., д.30, к.2ж",1744\990,2703\1600
"Маршала Жукова пр., д.32, к.1",5306\2903,4318\2770
"Маршала Жукова пр., д.34, к.1а",2065\1349,2002\1517
"Маршала Жукова пр., д.34, к.1б",309\67,354\76
"Маршала Жукова пр., д.34, к.1в",2001\2012,1759\2172
"Маршала Жукова пр., д.34, к.1г",1433\863,1244\972
"Маршала Жукова пр., д.34, к.1д",568\123,651\141
"Маршала Жукова пр., д.34, к.1е",854\184,981\213
"Маршала Казакова ул., д.1, к.2",1915\1082,1592\1022
"Маршала Казакова ул., д.3, к.1",2896\1639,2229\1429
"Маршала Казакова ул., д.5, к.1а",1132\769,952\736
"Маршала Казакова ул., д.5, к.1б",2264\1364,1965\1324
"Маршала Казакова ул., д.10, к.1а",2121\1469,1159\1677
"Маршала Казакова ул., д.10, к.1б",1664\1006,2108\504
"Маршала Казакова ул., д.10, к.1в",2159\1458,1760\1314
"Маршала Казакова ул., д.10, к.1д",1475\892,1368\985
"Маршала Казакова ул., д.13",3168\933,2713\796
"Метростроевцев ул., д.2",442\292,356\263
"Метростроевцев ул., д.3",180\93,164\86
"Морской пехоты ул., д.4",3988\2449,3298\2362
"Морской пехоты ул., д.6, к.1",1557\403,1506\364
"Морской пехоты ул., д.10, к.1",3494\1921,3196\1707
"Морской пехоты ул., д.14",1861\554,139\806
"Новаторов бул., д.1",817\486,453\367
"Новаторов бул., д.3",584\428,365\347
"Новоовсянниковская ул., д.9",297\269,140\82
"Новоовсянниковская ул., д.13",187\95,65\44
"Новостроек ул., д.8",44\28,36\26
"Новостроек ул., д.20",365\248,288\226
"Новостроек ул., д.27",355\209,271\166
"Новостроек ул., д.28",383\227,219\153
