"Двинская ул., д.8",179.658\124.55,203.958\148.55
"Двинская ул., д.9",182.931\87.9,117.831\57.9
"Двинская ул., д.10",529.096\304,503.256\320
"Двинская ул., д.11",414.97\247.75,359.53\225.75
"Двинская ул., д.14",327.832\195.95,304.612\186.95
"Двинская ул., д.14, к.4",1417\459,1549\464
"Двинская ул., д.16, к.1",4322.8\1665.9,4314.52\1633.9
"Двинская ул., д.17",703.8\317.6,689.8\310.6
"Зайцева ул., д.3",761.346\900.95,617.826\783.95
"Зайцева ул., д.17/23",1768.23\858.2,1378.13\648.2
"Зайцева ул., д.18/16",205.248\114.15,191.808\110.15
"Зайцева ул., д.19/18",335.95\207.6,295.95\203.6
"Зайцева ул., д.20",706.1\392.25,549.1\316.25
"Зайцева ул., д.21",40.9\20.6,33.9\17.6
"Зайцева ул., д.22/13",1182.61\579.55,950.434\414.55
"Зайцева ул., д.25",218\135.45,148\100.45
"Зайцева ул., д.26",350.07\1.15,349.8\.15
"Зайцева ул., д.29",53.1\36.35,41.1\34.35
"Зайцева ул., д.31",570.65\317.7,478.65\278.7
"Зайцева ул., д.32",262.5\165.25,228.5\153.25
"Зайцева ул., д.33",375.53\284.9,398.48\296.9
"Зайцева ул., д.34",126.95\61.6,114.95\53.6
"Зайцева ул., д.36",425.5\247.65,359.5\215.65
"Зайцева ул., д.37",269\156.1,245.2\143.1
"Зайцева ул., д.39",403.1\229.75,350.1\218.75
"Зины Портновой ул., д.4",126.65\93.05,100.65\79.05
"Зины Портновой ул., д.6",434.35\321,396.35\339
"Зины Портновой ул., д.8",390.3\268.65,382.3\284.65
"Зины Портновой ул., д.10",291.5\189.9,302.5\221.9
"Зины Портновой ул., д.12",273.1\222.25,243.1\186.25
"Зины Портновой ул., д.14",381.85\276.4,377.85\298.4
"Зины Портновой ул., д.16",545.7\275.45,579.7\291.45
"Зины Портновой ул., д.18",412.45\284.8,366.45\292.8
"Зины Портновой ул., д.20",167.25\112.05,152.25\126.05
"Зины Портновой ул., д.22",107.15\69.9,137.15\98.9
"Зины Портновой ул., д.24",294.9\200.8,289.9\231.8
"Зины Портновой ул., д.26",370.9\241.8,334.9\265.8
"Зины Портновой ул., д.28",339.55\198.6,346.55\171.6
"Зины Портновой ул., д.30",467.3\300.1,497.3\341.1
"Зои Космодемьянской ул., д.3",303.5\168.34,303.5\168.34
"Зои Космодемьянской ул., д.5",662.07\338.3,1127.37\443.3
"Зои Космодемьянской ул., д.6, к.1",473.45\206.75,598.85\260.75
"Зои Космодемьянской ул., д.8/17",91.55\53.4,102.55\64.4
"Зои Космодемьянской ул., д.15",120.9\67,132.06\73
"Зои Космодемьянской ул., д.16/24",35.227\23.1,58.327\50.1
"Зои Космодемьянской ул., д.17/26",307.458\191.6,325.128\214.6
"Зои Космодемьянской ул., д.21",209.8\81.85,238.8\90.85
"Зои Космодемьянской ул., д.23",140.45\45.6,146.45\47.6
"Зои Космодемьянской ул., д.25/20",112.5\71.05,4581\75.05
"Зои Космодемьянской ул., д.29",70.4\42.25,63.4\49.25
"Ивана Черных ул., д.1",90.349\56.55,45.979\33.55
"Ивана Черных ул., д.3",310.3\140.3,304.3\120.3
"Ивана Черных ул., д.3, к.2",181\95,182.9\94.9
"Ивана Черных ул., д.13а",138.5\81,121.5\75
"Ивана Черных ул., д.13б",406.35\267.4,285.35\227.4
"Ивана Черных ул., д.15а",322.65\173.05,209.65\156.05
"Ивана Черных ул., д.15б",89.7\54,50.7\39
"Ивана Черных ул., д.19",278.8\173.8,200.8\136.8
"Ивана Черных ул., д.21",,40.02\33
"Канонерский о., д.7",7177.1\3653.2,7235.1\3407.2
"Канонерский о., д.8",4563.35\1627.3,5065.35\1684.3
"Канонерский о., д.9",3025.5\1214.25,3385.5\1319.25
"Канонерский о., д.10",3276.5\1313.25,3646.5\1413.25
"Канонерский о., д.12",767.25\400,769.25\391
"Канонерский о., д.12, к.2",697.4\355.1,752.4\379.1
"Канонерский о., д.13",711.45\456.8,714.45\506.8
"Канонерский о., д.14",508.05\318.95,544.05\341.95
"Канонерский о., д.15",160\81,85\43
"Канонерский о., д.16",138.65\85.4,148.65\93.4
"Канонерский о., д.25",224.8\88.4,243.8\91.4
"Корнеева ул., д.2",704\330,1629.58\861.55
"Корнеева ул., д.6",1747.53\476.9,1758.58\426.9
"Косинова ул., д.5",122.82\0,122.82\0
"Косинова ул., д.7",56.12\44.3,57.04\51.3
"Косинова ул., д.9/9",112.15\70.2,126.15\83.2
"Косинова ул., д.14, к.1",842.55\502.2,611.55\378.2
"Косинова ул., д.14, к.2",596.9\491.2,369.9\248.2
"Краснопутиловская ул., д.16/13",1186.37\621.6,976.53\509.6
"Краснопутиловская ул., д.18",170.15\100.1,129.15\81.1
"Краснопутиловская ул., д.20",512.975\301.8,405.875\238.8
"Краснопутиловская ул., д.26",709.457\406.8,550.357\317.8
"Краснопутиловская ул., д.28/20",503.856\265.4,430.896\229.4
"Ленинский пр., д.110, к.1а",569.7\444.55,688.7\591.55
"Ленинский пр., д.110, к.1б",3023.95\2264.75,2796.95\2306.75
"Ленинский пр., д.120, к.2",294\165,244\147
"Ленинский пр., д.124",2905\1491.85,3208.78\1631.85
"Ленинский пр., д.130, к.2",1015.1\485.9,875.1\410.9
"Майков пер., д.3",117\70,89\55
"Майков пер., д.5а",67\35,48\26
"Майков пер., д.7/1",154\81.5,127\65.5
"Маршала Говорова ул., д.3/7",481.16\0,438.8\0
"Маршала Говорова ул., д.5/4",477.159\335.45,371.599\263.45
"Маршала Говорова ул., д.6/5",253.612\156.35,146.452\103.35
"Маршала Говорова ул., д.7",212.7\114.15,189.7\101.15
"Маршала Говорова ул., д.11/3",165.784\36.45,19.504\6.45
"Маршала Говорова ул., д.15",111.888\110.75,83.768\93.75
