"Автовская ул., д.21",164.52,176.72
"Автовская ул., д.25",311.32,295.09
"Автовская ул., д.28/30",422.24,349.17
"Автовская ул., д.29",283.71,257.57
"Автовская ул., д.30",124.26,112.54
"Автовская ул., д.32",378.27,372.66
"Автовская ул., д.34",269.44,274.63
"Автовская ул., д.38",127.57,137.69
"Автовская ул., д.40",384.50,376.42
"Балтийская ул., д.17, к.2",340.03,295.91
"Балтийская ул., д.18",,205.98
"Балтийская ул., д.19",182.77,157.04
"Балтийская ул., д.20",,51.29
"Балтийская ул., д.21",135.09,116.07
"Балтийская ул., д.22",,96.13
"Балтийская ул., д.23",27.81,23.90
"Балтийская ул., д.24",,181.49
"Балтийская ул., д.25",74.23,68.77
"Балтийская ул., д.27",43.30,40.12
"Балтийская ул., д.34",80.79,61.74
"Баррикадная ул., д.4",37.94,29.01
"Баррикадная ул., д.5",305.85,315.82
"Белоусова ул., д.3",134.44,130.21
"Белоусова ул., д.5",71.52,42.70
"Белоусова ул., д.10",62.20,55.84
"Белоусова ул., д.14/41",91.88,69.05
"Белоусова ул., д.16",40.54,30.46
"Белоусова ул., д.18",105.39,79.20
"Васи Алексеева ул., д.16",421.67,366.29
"Васи Алексеева ул., д.17",295.77,272.93
"Васи Алексеева ул., д.21",401.81,375.79
"Васи Алексеева ул., д.25",311.32,171.22
"Гладкова ул., д.1",91.00,99.89
"Гладкова ул., д.1а",112.00,122.94
"Гладкова ул., д.11",70.67,86.25
"Гладкова ул., д.13",95.13,116.10
"Гладкова ул., д.17",54.67,58.37
"Гладкова ул., д.19",100.23,107.01
"Гладкова ул., д.21",79.73,85.12
"Гладкова ул., д.24/7",81.42,80.16
"Гладкова ул., д.26",79.43,78.21
"Гладкова ул., д.31/7",,9.57
"Гладкова ул., д.33",,11.90
"Гладкова ул., д.35",,9.57
"Гладкова ул., д.39",70.16,65.25
"Гладкова ул., д.41",39.40,30.12
"Гладкова ул., д.43",40.86,31.24
"Губина ул., д.1/32",96.98,90.19
"Губина ул., д.3",47.46,44.14
"Губина ул., д.4",49.60,55.46
"Губина ул., д.5",103.17,95.95
"Губина ул., д.6",87.39,97.72
"Губина ул., д.8",,7.93
"Губина ул., д.9, к.1",71.49,70.39
"Губина ул., д.9, к.2",67.52,66.48
"Губина ул., д.13, к.1",63.54,62.57
"Губина ул., д.13, к.2",66.91,64.07
"Губина ул., д.19/16",100.73,76.27
"Губина ул., д.20",89.23,79.47
"Губина ул., д.21",97.77,74.03
"Губина ул., д.22/21",66.92,59.60
"Губина ул., д.23/19",103.69,78.51
"Двинская ул., д.14, к.4",306.77,256.79
"Двинская ул., д.16, к.1",1204.33,1026.72
"Двинская ул., д.16, к.3",660.69,569.89
"Зайцева ул., д.3",433.00,391.27
"Зайцева ул., д.19/18",463.54,442.89
"Зайцева ул., д.21",97.03,87.67
"Зайцева ул., д.25",336.76,345.45
"Зайцева ул., д.29",115.69,140.40
"Зайцева ул., д.31",401.62,367.07
"Зины Портновой ул., д.4",326.67,338.41
"Зины Портновой ул., д.6",239.51,234.19
"Зины Портновой ул., д.8",311.46,308.06
"Зины Портновой ул., д.10",318.24,349.89
"Зины Портновой ул., д.12",370.96,519.33
"Зины Портновой ул., д.14",298.65,295.59
"Зины Портновой ул., д.16",123.26,104.92
"Зины Портновой ул., д.18",228.32,245.06
"Зины Портновой ул., д.20",312.04,290.44
"Зины Портновой ул., д.22",300.71,310.33
"Зины Портновой ул., д.24",370.88,363.48
"Зины Портновой ул., д.26",277.23,277.41
"Зины Портновой ул., д.28",237.31,241.39
"Зины Портновой ул., д.30",230.92,207.49
"Зои Космодемьянской ул., д.3",397.13,373.66
"Зои Космодемьянской ул., д.5",147.73,138.99
"Зои Космодемьянской ул., д.21",118.51,89.73
"Зои Космодемьянской ул., д.27",102.02,90.61
"Ивана Черных ул., д.3, к.2",219.62,194.32
"Канонерский о., д.7",417.48,1431.39
"Канонерский о., д.8",519.51,1125.45
"Канонерский о., д.9",251.92,360.26
"Канонерский о., д.10",285.02,379.24
"Канонерский о., д.12",222.84,319.23
"Канонерский о., д.12, к.2",255.75,795.85
"Канонерский о., д.13",103.47,321.69
"Канонерский о., д.14",103.69,338.42
"Канонерский о., д.15",83.30,266.22
"Корнеева ул., д.6",482.46,1004.78
"Косинова ул., д.14, к.1",402.26,384.43
"Косинова ул., д.14, к.2",293.02,284.69
"Ленинский пр., д.110, к.1а",192.37,488.12
"Ленинский пр., д.110, к.1б",525.23,2332.31
"Ленинский пр., д.120, к.2",266.04,250.56
"Ленинский пр., д.124",621.95,619.25
"Майков пер., д.3",41.24,38.21
"Майков пер., д.5",8.25,7.64
"Майков пер., д.5а",55.68,51.58
"Майков пер., д.7/1",57.74,53.49
"Маршала Говорова ул., д.16",829.71,847.60
"Маршала Жукова пр., д.18а",229.48,774.38
"Маршала Жукова пр., д.18б",164.20,533.76
"Маршала Жукова пр., д.18в",549.09,1590.02
"Маршала Жукова пр., д.18г",174.12,563.45
"Маршала Жукова пр., д.18д",173.16,545.82
"Маршала Жукова пр., д.20",331.21,957.77
"Маршала Жукова пр., д.22",344.68,1050.83
"Маршала Жукова пр., д.26/16а",208.40,581.16
"Маршала Жукова пр., д.26/16б",164.03,392.39
"Маршала Жукова пр., д.26/16в",665.86,1803.59
"Маршала Жукова пр., д.28, к.1",586.34,1501.14
"Маршала Жукова пр., д.30, к.2а",114.24,310.91
"Маршала Жукова пр., д.30, к.2б",152.77,486.52
"Маршала Жукова пр., д.30, к.2в",516.91,1578.84
"Маршала Жукова пр., д.30, к.2г",150.33,481.37
"Маршала Жукова пр., д.30, к.2д",278.46,850.03
"Маршала Жукова пр., д.30, к.2е",164.31,544.25
"Маршала Жукова пр., д.30, к.2ж",409.19,1248.39
"Маршала Жукова пр., д.32, к.1",718.11,2109.48
"Маршала Жукова пр., д.34, к.1а",379.26,1031.81
"Маршала Жукова пр., д.34, к.1б",117.32,743.26
"Маршала Жукова пр., д.34, к.1в",457.98,973.14
"Маршала Жукова пр., д.34, к.1г",116.14,298.74
"Маршала Жукова пр., д.34, к.1д",216.15,696.31
"Маршала Жукова пр., д.34, к.1е",520.03,1527.58
"Маршала Казакова ул., д.1, к.2",294.95,890.03
"Маршала Казакова ул., д.3, к.1",376.15,1107.47
"Маршала Казакова ул., д.5, к.1а",454.44,1458.22
