"Автовская ул., д.21",243.05\223.65,271.05\233.65
"Двинская ул., д.17",624.8\255.6,703.8\317.6
"Зайцева ул., д.3",467.946\717.95,761.346\900.95
"Зайцева ул., д.17/23",1409.15\651.2,1768.23\858.2
"Зайцева ул., д.18/16",251.328\110.15,205.248\114.15
"Зайцева ул., д.19/18",310.95\191.6,335.95\207.6
"Зайцева ул., д.20",582.1\322.25,706.1\392.25
"Зайцева ул., д.21",31.9\14.6,40.9\20.6
"Зайцева ул., д.22/13",1125.27\491.55,1182.61\579.55
"Зайцева ул., д.25",174\109.45,218\135.45
"Зайцева ул., д.26",350.07\1.15,350.07\1.15
"Зайцева ул., д.29",60.1\41.35,53.1\36.35
"Зайцева ул., д.31",506.65\270.7,570.65\317.7
"Зайцева ул., д.32",223.5\141.25,262.5\165.25
"Зайцева ул., д.33",354.28\253.9,375.53\284.9
"Зайцева ул., д.34",118.95\55.6,126.95\61.6
"Зайцева ул., д.36",382.5\218.65,425.5\247.65
"Зайцева ул., д.37",210.35\121.1,269\156.1
"Зайцева ул., д.39",321.1\195.75,403.1\229.75
"Зины Портновой ул., д.4",104.65\79.05,126.65\93.05
"Зины Портновой ул., д.6",400.35\300,434.35\321
"Зины Портновой ул., д.8",386.3\264.65,390.3\268.65
"Зины Портновой ул., д.10",298.5\194.9,291.5\189.9
"Зины Портновой ул., д.12",261.1\197.25,273.1\222.25
"Зины Портновой ул., д.14",381.85\282.4,381.85\276.4
"Зины Портновой ул., д.16",538.7\271.45,545.7\275.45
"Зины Портновой ул., д.18",389.45\278.8,412.45\284.8
"Зины Портновой ул., д.20",137.25\97.05,167.25\112.05
"Зины Портновой ул., д.22",106.15\72.9,107.15\69.9
"Зины Портновой ул., д.24",290.9\207.8,294.9\200.8
"Зины Портновой ул., д.26",368.9\241.8,370.9\241.8
"Зины Портновой ул., д.28",404.55\207.6,339.55\198.6
"Зины Портновой ул., д.30",480.3\309.1,467.3\300.1
"Зои Космодемьянской ул., д.3",349.5\195.89,303.5\168.34
"Зои Космодемьянской ул., д.5",844.77\429.3,662.07\338.3
"Зои Космодемьянской ул., д.6, к.1",497\207.75,473.45\206.75
"Зои Космодемьянской ул., д.8/17",145.55\79.4,91.55\53.4
"Зои Космодемьянской ул., д.15",,120.9\67
"Зои Космодемьянской ул., д.16/24",48.317\35.1,35.227\23.1
"Зои Космодемьянской ул., д.17/26",274.938\173.6,307.458\191.6
"Зои Космодемьянской ул., д.21",541.467\94.85,209.8\81.85
"Зои Космодемьянской ул., д.23",119.45\44.6,140.45\45.6
"Зои Космодемьянской ул., д.25/20",115.5\66.05,112.5\71.05
"Зои Космодемьянской ул., д.29",49.4\42.25,70.4\42.25
"Ивана Черных ул., д.1",65.119\44.55,90.349\56.55
"Ивана Черных ул., д.3",217.3\80.3,310.3\140.3
"Ивана Черных ул., д.3, к.2",162.9\84.9,181\95
"Ивана Черных ул., д.13а",124.5\74,138.5\81
"Ивана Черных ул., д.13б",305.35\203.4,406.35\267.4
"Ивана Черных ул., д.15а",246.65\142.05,322.65\173.05
"Ивана Черных ул., д.15б",67.7\47,89.7\54
"Ивана Черных ул., д.19",236.8\155.8,278.8\173.8
"Канонерский о., д.7",7296.1\3628.2,7177.1\3653.2
"Канонерский о., д.8",4874.35\1708.3,4563.35\1627.3
"Канонерский о., д.9",2800.5\1109.25,3025.5\1214.25
"Канонерский о., д.10",3611.5\1463.25,3276.5\1313.25
"Канонерский о., д.12",827.25\424,767.25\400
"Канонерский о., д.12, к.2",760.4\382.1,697.4\355.1
"Канонерский о., д.13",730.45\478.8,711.45\456.8
"Канонерский о., д.14",543.05\345.95,508.05\318.95
"Канонерский о., д.15",401.508\123,160\81
"Канонерский о., д.16",172.65\102.4,138.65\85.4
"Канонерский о., д.25",276.8\110.4,224.8\88.4
"Корнеева ул., д.2",547.533\310.55,704\330
"Корнеева ул., д.6",1413.93\326.9,1747.53\476.9
"Косинова ул., д.5",147.1\0,122.82\0
"Косинова ул., д.7",51.52\44.3,56.12\44.3
"Косинова ул., д.9/9",72.15\45.2,112.15\70.2
"Косинова ул., д.14, к.1",539.55\332.2,842.55\502.2
"Косинова ул., д.14, к.2",214.9\171.2,596.9\491.2
"Краснопутиловская ул., д.16/13",973.09\508.6,1186.37\621.6
"Краснопутиловская ул., д.18",114.15\69.1,170.15\100.1
"Краснопутиловская ул., д.20",345.525\206.8,512.975\301.8
"Краснопутиловская ул., д.26",624.317\351.8,709.457\406.8
"Краснопутиловская ул., д.28/20",400.176\213.4,503.856\265.4
"Ленинский пр., д.110, к.1а",583.7\466.55,569.7\444.55
"Ленинский пр., д.110, к.1б",3421.95\2613.75,3023.95\2264.75
"Ленинский пр., д.120, к.2",240\146,294\165
"Ленинский пр., д.124",3347.87\1589.85,2905\1491.85
"Ленинский пр., д.130, к.2",921.1\441.9,1015.1\485.9
"Майков пер., д.3",89\55,117\70
"Майков пер., д.5а",55\30,67\35
"Майков пер., д.7/1",179\92.5,154\81.5
"Маршала Говорова ул., д.3/7",404.197\0,481.16\0
"Маршала Говорова ул., д.5/4",473.519\337.45,477.159\335.45
"Маршала Говорова ул., д.6/5",175.592\115.35,253.612\156.35
"Маршала Говорова ул., д.7",183.7\98.15,212.7\114.15
"Маршала Говорова ул., д.11/3",169.46\96.5,165.784\36.45
"Маршала Говорова ул., д.15",105.968\104.75,111.888\110.75
"Маршала Говорова ул., д.16",4630.4\1730.15,5821.4\2265.15
"Маршала Говорова ул., д.17",117.041\81.3,107.741\71.3
"Маршала Говорова ул., д.21",372.75\194.9,406.75\214.9
"Маршала Говорова ул., д.22/10",587.88\371,615.48\385
"Маршала Говорова ул., д.22, к.2",128.296\104.25,148.046\116.25
"Маршала Говорова ул., д.23",171.55\83.95,210.55\104.95
"Маршала Говорова ул., д.24",598.35\359.8,788.35\461.8
"Маршала Говорова ул., д.26, к.2",236.35\120.85,226.35\115.85
"Маршала Жукова пр., д.18а",1249.95\553.2,1196.95\531.2
"Маршала Жукова пр., д.18б",3132.99\1261.6,3100.89\1455.6
"Маршала Жукова пр., д.18в",3393.85\1648.6,3519.85\1720.6
"Маршала Жукова пр., д.18г",1797.39\891,1852.57\1004
"Маршала Жукова пр., д.18д",1308.65\642.1,1292.65\641.1
"Маршала Жукова пр., д.26/16а",1129.45\712.25,1129.45\712.25
"Маршала Жукова пр., д.26/16б",2209.46\1102.3,2171.12\1102.3
"Маршала Жукова пр., д.26/16в",2515.96\1564.6,2480.98\1564.6
"Маршала Жукова пр., д.28, к.1",2681.87\1552.9,2654.29\1552.9
"Маршала Жукова пр., д.30, к.2а",1818\942,1818\942
"Маршала Жукова пр., д.30, к.2б",165.5\99.05,165.5\99.05
"Маршала Жукова пр., д.30, к.2в",4298\2006.95,4298\2006.95
"Маршала Жукова пр., д.30, к.2г",2463.45\1456.25,2463.45\1456.25
"Маршала Жукова пр., д.30, к.2д",4019.25\2013.55,4019.25\2013.55
"Маршала Жукова пр., д.30, к.2е",1792\1218.05,1792\1218.05
"Маршала Жукова пр., д.30, к.2ж",2740.3\1382.95,2740.3\1382.95
"Маршала Жукова пр., д.32, к.1",4990.71\2203.75,4639.51\2072.75
"Маршала Жукова пр., д.34, к.1а",2312.3\1389.3,2256.3\1356.3
"Маршала Жукова пр., д.34, к.1б",361.4\77.47,351\78
"Маршала Жукова пр., д.34, к.1в",2593.85\1943.35,2556.85\1990.35
"Маршала Жукова пр., д.34, к.1г",1455.5\834.95,1454.38\869.95
"Маршала Жукова пр., д.34, к.1д",697.93\149.61,678\152
"Маршала Жукова пр., д.34, к.1е",1057.42\226.67,1028.75\230.75
"Маршала Казакова ул., д.1, к.2",1960.6\1157.45,2032.6\1187.45
"Маршала Казакова ул., д.3, к.1",1630.65\689.75,1525.65\645.75
"Маршала Казакова ул., д.5, к.1а",936.415\592.75,872.415\594.75
"Маршала Казакова ул., д.5, к.1б",1623.29\989.85,1732.59\1153.85
"Маршала Казакова ул., д.10, к.1а",1096.98\759.5,1268.65\991.5
"Маршала Казакова ул., д.10, к.1б",1265.7\647.45,1396.86\802.45
"Маршала Казакова ул., д.10, к.1в",1962.29\954.1,1687.49\837.1
"Маршала Казакова ул., д.10, к.1д",1463.48\884,1410.21\981
"Маршала Казакова ул., д.13",689.55\359.4,1902.12\680.4
"Метростроевцев ул., д.2",391.875\260.9,424.175\282.9
"Метростроевцев ул., д.3",116.75\75.25,80\54
"Морской пехоты ул., д.4",2477.8\1263,2487.8\1367
"Морской пехоты ул., д.6, к.1",1451.27\435.75,1947.95\570.75
"Морской пехоты ул., д.10, к.1",2191.95\1049.2,2306.95\1187.2
"Морской пехоты ул., д.14",1457.3\796.6,1534.3\875.6
"Народного ополчения пр., д.7",375.6\174.55,523.6\240.55
"Новаторов бул., д.1",350.865\269.3,448.065\319.3
"Новаторов бул., д.3",212.1\107.75,214.1\104.75
"Новоовсянниковская ул., д.9",30.65\15.25,24.65\11.25
"Новоовсянниковская ул., д.13",59.25\30.35,51.25\26.35
"Новоовсянниковская ул., д.19, к.2",42\21,38\19
"Новостроек ул., д.8",96.6\56.35,44.6\24.35
"Новостроек ул., д.20",242.75\137.35,287.75\161.35
"Новостроек ул., д.25",259.378\156.45,335.878\198.45
"Новостроек ул., д.27",39.45\17.8,76.45\40.8
"Новостроек ул., д.28",147.55\80.75,172.55\93.75
"Новостроек ул., д.29",208.59\123.85,191.59\114.85
"Новостроек ул., д.31",281.9\0,345.1\205
"Новостроек ул., д.33",229.75\136.9,268.75\164.9
"Новостроек ул., д.35",222.063\152.65,233.963\159.65
"Оборонная ул., д.3",256.6\140.4,288.6\163.4
"Оборонная ул., д.4",715.8\360.85,501.8\256.85
"Оборонная ул., д.5",496\300.2,715\416.2
"Оборонная ул., д.6",40.1\27.95,81.1\32.95
"Оборонная ул., д.7/20",90.95\47.95,24.95\12.95
"Оборонная ул., д.14",66.81\98.05,116.15\67.05
"Оборонная ул., д.17/13",86.7\41.05,57.7\28.05
"Оборонная ул., д.19",96.7\62.3,102.7\55.3
"Оборонная ул., д.20/18",87.35\42.8,96.35\46.8
"Оборонная ул., д.23/17",89.95\45.85,74.95\58.85
"Оборонная ул., д.27",66.26\41.2,79.6\42.2
"Огородный пер., д.4, к.3",337.55\211.1,605.55\343.1
"Огородный пер., д.6, к.1",241.45\109,306.45\155
"Огородный пер., д.6, к.2",637\320,518\255
"Огородный пер., д.11",,121\28
"Промышленная ул., д.12",50.9\26.85,4.9\28.85
"Промышленная ул., д.26",123.7\42.75,150.7\82.75
"Промышленная ул., д.28",62.55\23,70.55\36
"Промышленная ул., д.30",18.55\10.35,19.55\10.35
"Промышленная ул., д.34",82.6\40.45,84.6\41.45
"Промышленная ул., д.36",52.15\26.65,80.15\40.65
"Промышленная ул., д.38",18.95\5.9,19.95\9.9
"Севастопольская ул., д.6",100.85\48.85,94.85\46.85
"Севастопольская ул., д.34",42.1\27.6,33.1\17.6
"Севастопольская ул., д.43",39.8\18.4,38.8\20.4
"Стачек пр., д.1",372.12\164.6,784.15\300.6
"Стачек пр., д.2/2",136.8\71.3,114.8\64.3
"Стачек пр., д.4/1",137\72,170\88
"Стачек пр., д.6",83.03\60.15,83.03\60.15
"Стачек пр., д.8/2",48.95\31.7,74.95\45.7
"Стачек пр., д.8а",207.56\17.175,157.16\0
"Стачек пр., д.9",189.95\96.05,190.95\97.05
"Стачек пр., д.10",200.65\138.1,253.65\179.1
"Стачек пр., д.11",324.08\226.1,489.392\310.1
"Стачек пр., д.17",271.762\101.1,274.26\128.1
"Стачек пр., д.19",1273.85\546.55,1434.85\643.55
"Стачек пр., д.21",2682.7\749.1,2386.88\1258.1
"Стачек пр., д.22",191.7\119.95,150.7\93.95
"Стачек пр., д.22а",894.95\383.9,811.95\326.9
"Стачек пр., д.23",1052.9\525.5,967.9\515.5
"Стачек пр., д.24",471\257,511\264
"Стачек пр., д.27",60\34,54\31
"Стачек пр., д.29",257.95\139.9,245.95\130.9
"Стачек пр., д.33/2",116.7\82.5,139.7\89.5
"Стачек пр., д.34, к.1",150\78,135\70
"Стачек пр., д.34, к.2",64.3\33.75,87.3\44.75
"Стачек пр., д.35",87.05\54.45,113.05\54.45
"Стачек пр., д.38",24.05\13.2,14.05\7.2
"Стачек пр., д.41",478.3\279.55,338.3\203.55
"Стачек пр., д.42",33\24,40\30
"Стачек пр., д.95, к.1",3704.25\1845.15,3797.25\1942.15
"Стачек пр., д.101, к.1а",2031.82\961.95,2040.98\1194.95
"Стачек пр., д.101, к.1б",1035.39\791.35,1019.69\789.35
"Стачек пр., д.101, к.1в",2592.1\1346.25,2685.1\1376.25
"Стачек пр., д.101, к.1г",1630.9\1109.4,1822.9\1195.4
"Стачек пр., д.101, к.1д",1579.55\841.3,1733.55\935.3
"Стачек пр., д.102",55.95\31.2,97.95\44.2
"Стачек пр., д.103, к.1",2157.96\2085.15,2209.27\1963.15
"Стачек пр., д.105, к.2а",1353.2\765,1195.2\665
"Стачек пр., д.105, к.2б",3236.22\1964.35,3278.55\1884.35
"Стачек пр., д.105, к.2в",3700\1702.15,3596\1639.15
"Стачек пр., д.105, к.2г",1814.7\1190.45,1800.7\1196.45
"Стачек пр., д.105, к.2д",4279.3\2426.7,4246.39\2513.7
"Стачек пр., д.105, к.2е",2419.48\1314.15,2361.81\1303.15
"Стачек пр., д.105, к.2ж",3674.54\1655.85,3495.34\1684.85
"Стачек пр., д.105, к.2з",2183.58\1204.9,2292.79\1293.9
"Стачек пр., д.107, к.1",1775.13\901.85,1760.33\901.85
"Тракторная ул., д.3",120\77,162\102
"Тракторная ул., д.4",81.75\40.15,101.75\51.15
"Тракторная ул., д.4а",167.45\126.6,201.45\145.6
"Тракторная ул., д.5",160.9\100.9,186.9\112.9
"Тракторная ул., д.6",80.3\52.05,99.3\64.05
"Тракторная ул., д.6, к.2",62.85\38,68.85\40
"Тракторная ул., д.7",112.45\65.4,137.45\78.4
"Тракторная ул., д.8",117.45\76.1,171.45\110.1
"Тракторная ул., д.9",292.55\166.6,398.55\221.6
"Тракторная ул., д.10",75.1\58,97.1\70
"Тракторная ул., д.11",,213\107
"Тракторная ул., д.12",202.7\170.15,351.7\207.15
"Тракторная ул., д.13",217.4\115.55,344.4\183.55
"Тракторная ул., д.15",188.7\98.45,237.7\130.45
"Трамвайный пр., д.5",321.7\228,383.7\281
"Трамвайный пр., д.7, к.1",227.65\160.65,150.65\96.65
"Трамвайный пр., д.7, к.2",575.9\288.75,467.9\237.75
"Трамвайный пр., д.9, к.1",282.5\201.4,288.5\213.4
"Трамвайный пр., д.9, к.2",206.15\109.25,213.15\112.25
"Трамвайный пр., д.11, к.1",16.3\10.3,9.3\5.3
"Трамвайный пр., д.11, к.2",120.45\69.5,135.45\81.5
"Трамвайный пр., д.11, к.3",182.8\37.65,76.8\21.65
"Трамвайный пр., д.11, к.6",746.65\333.15,731.65\290.15
"Трамвайный пр., д.13, к.1",93\48,96\50
"Трамвайный пр., д.13, к.2",81.5\55.95,78.5\58.95
"Трамвайный пр., д.13, к.3",76.35\41.25,145.35\77.25
"Трамвайный пр., д.15, к.1",256.15\191.05,293.15\212.05
"Трамвайный пр., д.15, к.2",110.05\68.45,143.05\84.45
"Трамвайный пр., д.15, к.3",179.2\139.5,187.2\145.5
"Трамвайный пр., д.17",132.9\88.7,102.9\67.7
"Трефолева ул., д.3",1147.55\503.45,981.55\433.45
"Трефолева ул., д.5",346.6\211.95,295.6\176.95
"Трефолева ул., д.11",61.3\31.35,58.3\31.35
"Трефолева ул., д.15",644\391,1005\520
"Трефолева ул., д.16",223\145,217\141
"Трефолева ул., д.22/25",2181.45\900.3,1858.01\814.3
"Трефолева ул., д.26",143.15\76.55,116\63
"Турбинная ул., д.11",150.45\145.1,82.45\360
"Тургеневский пер., д.3",15\6,44\21
"Тургеневский пер., д.5",77.75\49.95,116.75\65.95
"Урюпин пер., д.2/6",.01\0,.001\0
"Урюпин пер., д.5",316.45\220.35,398.45\264.35
"Швецова ул., д.4",7.65\4.05,.001\0
"Швецова ул., д.6",73.35\36.25,112\57
"Швецова ул., д.10",840.85\582.75,1242.85\820.75
"Швецова ул., д.11",608.35\1465.85,1265.35\287.85
"Швецова ул., д.17",383\177,331\160
"Швецова ул., д.19",1110.24\75,852.39\414
"Шотландская ул., д.3",1548.6\606.65,1564.6\627.65
