"Автовская ул., д.21",367\226,360\206
"Автовская ул., д.22",245\0,245\0
"Автовская ул., д.25",164\122,141\107
"Автовская ул., д.26/37",453\265,414\228
"Автовская ул., д.28/30",119\182,84\145
"Автовская ул., д.29",810\388,844\406
"Автовская ул., д.30",96\83,111\88
"Автовская ул., д.32",96\77,74\51
"Автовская ул., д.34",120\72,84\53
"Автовская ул., д.38",40\28,32\23
"Автовская ул., д.40",100\113,59\95
"Автовская ул., д.46",3\8,5\4
"Автовская ул., д.52",84.7\114,75\117
"Балтийская ул., д.2/14",425\190,430\180
"Балтийская ул., д.12",207\192,183\168
"Балтийская ул., д.14",554\284,641\325
"Балтийская ул., д.17",47\39,46\39
"Балтийская ул., д.17, к.2",515\260,616\275
"Балтийская ул., д.18",16\12,14\8
"Балтийская ул., д.19а",16\12,19\13
"Балтийская ул., д.19б",9\6,10\7
"Балтийская ул., д.20",14\10,14\10
"Балтийская ул., д.21",10\5,19\9
"Балтийская ул., д.21, к.2",18\9,16\8
"Балтийская ул., д.22",10\8,8\7
"Балтийская ул., д.23",12\5,14\6
"Балтийская ул., д.24",74\39,85\44
"Балтийская ул., д.25",95\52,186\96
"Балтийская ул., д.27",58\26,94\49
"Балтийская ул., д.32а",59\38,36\29
"Балтийская ул., д.32д",22\15,13\11
"Балтийская ул., д.34",3\0,2\0
"Балтийская ул., д.36/9",85\43,213\107
"Балтийская ул., д.38",140\184,116\122
"Баррикадная ул., д.3",101\90,87\79
"Баррикадная ул., д.4",216\98,171\58
"Баррикадная ул., д.5",154\217,111\197
"Баррикадная ул., д.34",63\35,73\39
"Белоусова ул., д.3",29\18,33\21
"Белоусова ул., д.5",63\42,93\70
"Белоусова ул., д.6/42",189\130,356\201
"Белоусова ул., д.10",158\75,128\59
"Белоусова ул., д.14/41",3\3,3\2
"Белоусова ул., д.16",78\35,99\49
"Белоусова ул., д.18",226\115,249\129
"Белоусова ул., д.18, к.1",82\103,84\90
"Белоусова ул., д.20",47\23,53\27
"Белоусова ул., д.22",17\8,19\9
"Белоусова ул., д.24/32",7\23,6\22
"Васи Алексеева ул., д.7",24\12,12\19
"Васи Алексеева ул., д.9",16\11,15\12
"Васи Алексеева ул., д.10",317\0,317\0
"Васи Алексеева ул., д.11",118\89,98\95
"Васи Алексеева ул., д.16",226\116,224\113
"Васи Алексеева ул., д.17",104\94,116\86
"Васи Алексеева ул., д.20/24",187\106,243\63
"Васи Алексеева ул., д.21",114\56,141\72
"Васи Алексеева ул., д.22",601\430,444\491
"Васи Алексеева ул., д.24",156\112,149\106
"Васи Алексеева ул., д.25",100\86,91\80
"Васи Алексеева ул., д.26",340\258,294\181
"Васи Алексеева ул., д.28",131\105,151\110
"Васи Алексеева ул., д.30",346\254,209\187
"Возрождения ул., д.7/25",232\146,265\143
"Возрождения ул., д.9",25\12,35\19
"Возрождения ул., д.15",59\67,59\67
"Возрождения ул., д.19/38",574\352,553\323
"Возрождения ул., д.23",67\34,56\29
"Возрождения ул., д.25",72\37,98\50
"Возрождения ул., д.27",139\89,115\74
"Гладкова ул., д.1",19\25,13\15
"Гладкова ул., д.1а",59\31,70\35
"Гладкова ул., д.7/10",59\30,73\39
"Гладкова ул., д.11",5\5,25\12
"Гладкова ул., д.13",22\9,53\14
"Гладкова ул., д.17",321\104,289\112
"Гладкова ул., д.19",47\79,50\59
"Гладкова ул., д.21",25\12,24\12
"Гладкова ул., д.23",110\115,88\106
"Гладкова ул., д.24/7",14\6,3\1
"Гладкова ул., д.25",58\32,67\37
"Гладкова ул., д.26",130\71,111\69
"Гладкова ул., д.29",82\131,66\117
"Гладкова ул., д.31/7",11\5,12\4
"Гладкова ул., д.33",269\132,248\98
"Гладкова ул., д.35",114\55,153\57
"Гладкова ул., д.39",37\19,14\8
"Гладкова ул., д.41",13\5,14\6
"Гладкова ул., д.43",61\31,76\39
"Губина ул., д.1/32",224\93,194\82
"Губина ул., д.3",108\48,110\44
"Губина ул., д.4",45\3,39\5
"Губина ул., д.5",125\89,89\73
"Губина ул., д.6",13\7,16\9
"Губина ул., д.8",85\42,81\34
"Губина ул., д.9, к.1",120\64,72\33
"Губина ул., д.9, к.2",30\59,30\16
"Губина ул., д.12",162\85,76\38
"Губина ул., д.13, к.1",41\0,41\0
"Губина ул., д.13, к.2",98\29,53\13
"Губина ул., д.14",105\23,121\39
"Губина ул., д.15",46\22,42\21
"Губина ул., д.18",4\3,1\0
"Губина ул., д.19/16",64\37,63\39
