"Автовская ул., д.21",249\156,227\185
"Автовская ул., д.22",183.56\148,199.39\165
"Автовская ул., д.25",219\133,249\167
"Автовская ул., д.26/37",328.34\177,421.09\219
"Автовская ул., д.28/30",214\122,100\56
"Автовская ул., д.29",524\230,559\253
"Автовская ул., д.30",124\72,137\80
"Автовская ул., д.32",126.06\89,63.449\37
"Автовская ул., д.34",108\83,74\21
"Автовская ул., д.38",53\32,74\44
"Автовская ул., д.40",383\245,253\175
"Автовская ул., д.46",109\54,101\53
"Автовская ул., д.52",194\133,192\145
"Балтийская ул., д.2/14",680\371,766.7\413
"Балтийская ул., д.12",310.4\180,347.26\223
"Балтийская ул., д.14",218\0,261.44\0
"Балтийская ул., д.17",16.32\17,9.72\4
"Балтийская ул., д.17, к.2",330.25\193,334.05\180
"Балтийская ул., д.18",53\30,52\40
"Балтийская ул., д.19а",34.25\14.49,32.83\24.37
"Балтийская ул., д.19б",17.75\7.51,17.01\12.63
"Балтийская ул., д.20",31.57\32.07,37.02\37.14
"Балтийская ул., д.21, к.2",70\38,85\44
"Балтийская ул., д.22",24.44\24.93,28.77\28.86
"Балтийская ул., д.23",8\10,15\7
"Балтийская ул., д.24",59.86\102,60.59\90
"Балтийская ул., д.25",72.25\0,60.344\0
"Балтийская ул., д.27",52.62\0,57.076\0
"Балтийская ул., д.32а",46.6\29.7,62.6\42.02
"Балтийская ул., д.32д",17.72\11.3,23.8\15.98
"Балтийская ул., д.34",64.74\0,45.65\0
"Балтийская ул., д.36/9",183.08\100,235.52\130
"Балтийская ул., д.38",266\158,251\151
"Баррикадная ул., д.3",273\130,199\95
"Баррикадная ул., д.4",108.4\0,90.516\0
"Баррикадная ул., д.34",124\57,117\59
"Белоусова ул., д.3",47\23,41\21
"Белоусова ул., д.5",75\41,82\50
"Белоусова ул., д.6/42",444.99\249,444.99\251
"Белоусова ул., д.10",67.7\0,75.392\0
"Белоусова ул., д.14/41",55.24\0,55.237\0
"Белоусова ул., д.16",131\64,111.22\65
"Белоусова ул., д.18",133\68,92\47
"Белоусова ул., д.18, к.1",220\151,168\121
"Белоусова ул., д.20",114\63,80\48
"Белоусова ул., д.22",1949\742,111.3\38.4
"Белоусова ул., д.24/32",85.54\62,58.24\42
"Васи Алексеева ул., д.7",100.94\60,98.98\65
"Васи Алексеева ул., д.9",32.3\15,33.48\20
"Васи Алексеева ул., д.10",885.43\352,694.51\292
"Васи Алексеева ул., д.11",216\122,191\123
"Васи Алексеева ул., д.17",385\238,255\172
"Васи Алексеева ул., д.20/24",191.25\119,188.2\115
"Васи Алексеева ул., д.21",258\197,205.5\161
"Васи Алексеева ул., д.22",743.04\480,471.36\351
"Васи Алексеева ул., д.24",386\225,368\227
"Васи Алексеева ул., д.25",378\246,240\170
"Васи Алексеева ул., д.26",403.69\296,328.64\258
"Васи Алексеева ул., д.28",194\106,223\133
"Васи Алексеева ул., д.30",441.75\248,553.85\332
"Возрождения ул., д.7/25",835.38\0,750.2\0
"Возрождения ул., д.9",71.76\48,35.88\24
"Возрождения ул., д.15",205.92\129,181.17\129
"Возрождения ул., д.19/38",635.19\394,476.16\307
"Возрождения ул., д.23",66\31,54\24
"Возрождения ул., д.25",348\206,327\213
"Возрождения ул., д.27",242\148,272\166
"Гладкова ул., д.1",127.19\108,101.12\89
"Гладкова ул., д.1а",65\34,108\25
"Гладкова ул., д.7/10",20.4\43,14.64\31
"Гладкова ул., д.11",46\27,33\18
"Гладкова ул., д.13",31\19,53\26
"Гладкова ул., д.17",206\77,196\63
"Гладкова ул., д.19",88\58,87\62
"Гладкова ул., д.21",112.2\0,93.708\0
"Гладкова ул., д.23",355\211,240\161
"Гладкова ул., д.24/7",201\105,180\94
"Гладкова ул., д.25",630\357,539\313
"Гладкова ул., д.26",171\85,139\68
"Гладкова ул., д.29",194\126,156\113
"Гладкова ул., д.31/7",87\0,70\37
"Гладкова ул., д.33",98\52,91\45
"Гладкова ул., д.35",66.7\0,55.708\0
"Гладкова ул., д.39",12\6,11\5
"Гладкова ул., д.41",2\0,24\12
"Гладкова ул., д.43",22.44\17,38.94\29
"Губина ул., д.1/32",322.95\129,270.27\113
"Губина ул., д.4",101.37\58,81.84\45
"Губина ул., д.5",125.245\0,118.864\0
"Губина ул., д.6",123\61,90\50
"Губина ул., д.8",206\69,419\144
"Губина ул., д.9, к.1",48\26,37.6\24
"Губина ул., д.9, к.2",31\16,64\32
"Губина ул., д.12",124\66,130\67
"Губина ул., д.13, к.1",53.72\39,57.96\35
"Губина ул., д.13, к.2",66\36,52\30
"Губина ул., д.14",78\52,76\55
"Губина ул., д.15",46\22,33\18
"Губина ул., д.18",30\5,32\16
"Губина ул., д.19/16",114\80,78\56
"Губина ул., д.20",151\77,147\72
"Губина ул., д.21",105\55,84\44
"Губина ул., д.22/21",66\34,65\36
"Губина ул., д.23/19",140\69,120\60
"Двинская ул., д.4",451\271,446\275
"Двинская ул., д.4, к.1",291\174,287\195
"Двинская ул., д.4, к.2",510\300,531\319
"Двинская ул., д.4, к.3",393\241,402\258
"Двинская ул., д.4, к.4",281\178,274\193
"Двинская ул., д.8",164.43\119,205.74\141
"Двинская ул., д.9",287.37\150,277.14\148
"Двинская ул., д.10",158\100,344.4\270
"Двинская ул., д.11",244.36\165,278.08\186
"Двинская ул., д.14",265.74\160,301.86\184
"Двинская ул., д.14, к.4",1170\369,1316\390
"Двинская ул., д.16, к.1",3658\1482,3903.42\1749
"Двинская ул., д.17",484\253,562\303
"Зайцева ул., д.3",367\340,165.6\495
"Зайцева ул., д.17/23",1014.3\486,1057.5\555
"Зайцева ул., д.18/16",157.44\86,190.08\103
"Зайцева ул., д.19/18",297\174,233\158
"Зайцева ул., д.20",414\222,449\235
"Зайцева ул., д.21",36\21,24\9
"Зайцева ул., д.22/13",238.76\496,279.83\464
"Зайцева ул., д.25",167\104,102\69
"Зайцева ул., д.26",103.74\37,103.74\37
"Зайцева ул., д.29",62\36,46\28
"Зайцева ул., д.31",580\327,401\243
"Зайцева ул., д.32",233\142,213\133
"Зайцева ул., д.33",331.5\226,312.8\229
"Зайцева ул., д.34",102\51,91\46
"Зайцева ул., д.36",358\209,354\217
"Зайцева ул., д.37",355\138,246\144
"Зайцева ул., д.39",261\151,279\166
"Зины Портновой ул., д.4",87\64,75\61
"Зины Портновой ул., д.6",452\307,433\338
"Зины Портновой ул., д.8",284\189,289\233
"Зины Портновой ул., д.10",459\294,405\281
"Зины Портновой ул., д.12",277\199,227\188
"Зины Портновой ул., д.14",429\300,384\308
"Зины Портновой ул., д.16",484\241,507\252
"Зины Портновой ул., д.18",438\276,418\296
"Зины Портновой ул., д.20",186\117,170\128
"Зины Портновой ул., д.22",120\75,90\63
"Зины Портновой ул., д.24",310\188,355\252
"Зины Портновой ул., д.26",372\251,319\263
"Зины Портновой ул., д.28",508\292,565\249
"Зины Портновой ул., д.30",651\383,648\418
"Зои Космодемьянской ул., д.3",184.3\334,182.4\313
"Зои Космодемьянской ул., д.5",665.1\256,1060\311
"Зои Космодемьянской ул., д.6, к.1",430.35\213,558.3\231
"Зои Космодемьянской ул., д.8/17",52\35,39\31
"Зои Космодемьянской ул., д.16/24",131.84\98,93.94\27
"Зои Космодемьянской ул., д.17/26",245.52\165,229.2\166
"Зои Космодемьянской ул., д.21",304\183,220\93
"Зои Космодемьянской ул., д.23",152\43,133\43
"Зои Космодемьянской ул., д.25/20",93\49,119\61
"Зои Космодемьянской ул., д.29",19\60,49\30
"Ивана Черных ул., д.1",51.33\36,79.17\56
"Ивана Черных ул., д.3, к.2",157\82,211\109
"Ивана Черных ул., д.13а",192\118,258\157
"Ивана Черных ул., д.13б",311\200,310\251
"Ивана Черных ул., д.15а",338\192,305\178
"Ивана Черных ул., д.15б",65\38,56\35
"Ивана Черных ул., д.19",236\139,218\138
"Калинина ул., д.10",213.2\0,178.07\0
"Канонерский о., д.7",9788\3645,9070\3441
"Канонерский о., д.8",4316.4\1662,4011\1430
"Канонерский о., д.9",3015\1305,2670\1080
"Канонерский о., д.10",3080\1210,3125\1225
"Канонерский о., д.12",725\365,720\363
"Канонерский о., д.12, к.2",773\386,757\380
"Канонерский о., д.13",588\369,496\342
"Канонерский о., д.14",668\394,542\342
"Канонерский о., д.15",480.8\0,401.508\0
"Канонерский о., д.16",256\135,249\139
"Канонерский о., д.17",79\28,78\32
"Канонерский о., д.25",1029\588,1122\545
"Корнеева ул., д.2",779\424,681.15\379
"Корнеева ул., д.6",1411\460,1350.9\325
"Косинова ул., д.5",147\1,122.816\0
"Косинова ул., д.7",39.56\20,123.28\15
"Косинова ул., д.9/9",96\61,104\62
"Косинова ул., д.14, к.1",815\481,717\464
"Косинова ул., д.14, к.2",601\351,528\381
"Краснопутиловская ул., д.16/13",814.42\431,817.86\468
"Краснопутиловская ул., д.18",134\77,128\79
"Краснопутиловская ул., д.20",154.7\89,81.6\64
"Краснопутиловская ул., д.26",454.94\263,521.16\289
"Краснопутиловская ул., д.28/20",515.52\270,571.2\309
"Ленинский пр., д.110, к.1а",833\452,928\581
"Ленинский пр., д.110, к.1б",4850\2730,3237\2632
"Ленинский пр., д.120, к.2",233\0,230.81\0
"Ленинский пр., д.124",3368.9\1509,3780.4\1703
"Ленинский пр., д.130, к.2",,691\320
"Майков пер., д.3",125.2\0,104.576\0
"Майков пер., д.5а",43.95\0,36.708\0
"Майков пер., д.7/1",109\58,141\72
"Маршала Говорова ул., д.3/7",481.16\0,473.8\0
"Маршала Говорова ул., д.5/4",465.01\315,456.82\321
