"Зайцева ул., д.33",245.8\218.4,246.5\220
"Зайцева ул., д.34",139.2\66,158\75
"Зайцева ул., д.36",226.8\144,264\169
"Зайцева ул., д.37",176\112,246.5\154
"Зайцева ул., д.39",166.4\130,163\120
"Зины Портновой ул., д.4",70\59,171\0
"Зины Портновой ул., д.6",159.6\210,143\191
"Зины Портновой ул., д.8",226.8\195.6,215\191
"Зины Портновой ул., д.10",74\135.6,73\127
"Зины Портновой ул., д.12",66\113,72\104
"Зины Портновой ул., д.14",129\223.6,123\221
"Зины Портновой ул., д.16",420\209,416\207
"Зины Портновой ул., д.18",198\221,194\208
"Зины Портновой ул., д.20",30.8\51.8,18.7\40.3
"Зины Портновой ул., д.22",48.4\58.3,38\53
"Зины Портновой ул., д.24",48.4\94.6,47\83
"Зины Портновой ул., д.26",70\159,64\161
"Зины Портновой ул., д.28",261.6\139.2,253\119
"Зины Портновой ул., д.30",186\229.2,179\208
"Зои Космодемьянской ул., д.3",234\252,232\248.7
"Зои Космодемьянской ул., д.5",796.5\408,787\367
"Зои Космодемьянской ул., д.6, к.1",475.95\204,466\186
"Зои Космодемьянской ул., д.8/17",34\20.4,16\18
"Зои Космодемьянской ул., д.15",126.5\70,90.396\57.4
"Зои Космодемьянской ул., д.16/24",56.2\38,53.1\36
"Зои Космодемьянской ул., д.17/26",17.7\22,63.24\39
"Зои Космодемьянской ул., д.21",72\71,24\71
"Зои Космодемьянской ул., д.23",82\34,167\43
"Зои Космодемьянской ул., д.25/20",63\42,104\60
"Зои Космодемьянской ул., д.29",22.5\26,12.1\28
"Ивана Черных ул., д.1",1.74\1,21.75\12
"Ивана Черных ул., д.3",191.4\0,196\113
"Ивана Черных ул., д.3, к.2",150.7\79.2,148.4\106
"Ивана Черных ул., д.13а",83\54,80.3\50
"Ивана Черных ул., д.13б",123\113,123\110
"Ивана Черных ул., д.15а",112\70,129\72
"Ивана Черных ул., д.15б",22\41,18\40
"Ивана Черных ул., д.19",94\111,91\109
"Ивана Черных ул., д.21",53.1\55,72.21\61
"Канонерский о., д.7",6154\3118,6227\3102
"Канонерский о., д.8",3927\1462,3924\1440
"Канонерский о., д.9",2280\945,2640\1140
"Канонерский о., д.10",2735\1180,2940\1710
"Канонерский о., д.12",624\303,701\292
"Канонерский о., д.12, к.2",498\276,528\298
"Канонерский о., д.13",345\351,408\375
"Канонерский о., д.14",327\341,321\321.2
"Канонерский о., д.15",21\6,18\5
"Канонерский о., д.16",118\48,107\51
"Канонерский о., д.25",226\74,227\82
"Корнеева ул., д.2",674.5\420,649\394
"Корнеева ул., д.6",1345.6\357,1430\373
"Косинова ул., д.5",40\21,35\18
"Косинова ул., д.7",14.72\34,17.48\31
"Косинова ул., д.9/9",86\44,64\34
"Косинова ул., д.14, к.1",227\285,217\284
"Косинова ул., д.14, к.2",129\93,126\85
"Краснопутиловская ул., д.16/13",646.1\298,910.74\492
"Краснопутиловская ул., д.18",61.6\41.8,69\48
"Краснопутиловская ул., д.20",319.77\213.4,283.05\198
"Краснопутиловская ул., д.26",440.3\238,610.6\322
"Краснопутиловская ул., д.28/20",409\217,453.12\241
"Ленинский пр., д.110, к.1а",240.8\221.2,273\210
"Ленинский пр., д.110, к.1б",1093.4\1046.1,1195\1075
"Ленинский пр., д.120, к.2",148\144,104\84
"Ленинский пр., д.124",1505.5\720,1499\718
"Ленинский пр., д.130, к.2",807.4\379.5,790\383
"Майков пер., д.3",47\54,46\48
"Майков пер., д.5а",70\36,59\32
"Майков пер., д.7/1",149\75,140\64
"Маршала Говорова ул., д.3/7",294.8\0,327.52\0
"Маршала Говорова ул., д.5/4",237\217,310.31\271
"Маршала Говорова ул., д.6/5",89.206\83.2,174.84\95
"Маршала Говорова ул., д.7",136.8\78,114\66
"Маршала Говорова ул., д.11/3",683.6\0,485.73\0
"Маршала Говорова ул., д.15",25.752\74.1,37.74\78
"Маршала Говорова ул., д.16",3891\1605,3474\1451
"Маршала Говорова ул., д.17",41.292\42,41.85\44
"Маршала Говорова ул., д.21",212.8\172.2,258\172
"Маршала Говорова ул., д.22/10",398\295,381\277
"Маршала Говорова ул., д.22, к.2",94.8\93.5,102.7\92
"Маршала Говорова ул., д.23",179.2\91.2,133\69
"Маршала Говорова ул., д.24",398\317,423\330
"Маршала Говорова ул., д.26, к.2",271.7\146.3,253\133
