"Автовская ул., д.21",227\185,276\159
"Белоусова ул., д.20",80\48,105\77
"Белоусова ул., д.22",111.3\38.4,1821\388
"Белоусова ул., д.24/32",58.24\42,71.89\67
"Васи Алексеева ул., д.7",98.98\65,139.16\124
"Васи Алексеева ул., д.9",33.48\20,17.67\31
"Васи Алексеева ул., д.10",694.51\292,888.61\363
"Васи Алексеева ул., д.11",191\123,206\146
"Васи Алексеева ул., д.17",255\172,242\187
"Васи Алексеева ул., д.20/24",188.2\115,202.7\132
"Васи Алексеева ул., д.21",205.5\161,252\208
"Васи Алексеева ул., д.22",471.36\351,582.72\528
"Васи Алексеева ул., д.24",368\227,383\311
"Васи Алексеева ул., д.25",240\170,303\267
"Васи Алексеева ул., д.26",328.64\258,404.48\347
"Васи Алексеева ул., д.28",223\133,192\139
"Васи Алексеева ул., д.30",553.85\332,518.7\377
"Возрождения ул., д.7/25",750.2\0,750.2\0
"Возрождения ул., д.9",35.88\24,30.42\25
"Возрождения ул., д.15",181.17\129,203.94\169
"Возрождения ул., д.19/38",476.16\307,701\456
"Возрождения ул., д.23",54\24,71\33
"Возрождения ул., д.25",327\213,350\274
"Возрождения ул., д.27",272\166,305\197
"Гладкова ул., д.1",101.12\89,84.53\95
"Гладкова ул., д.1а",108\25,99\31
"Гладкова ул., д.7/10",14.64\31,17.76\38
"Гладкова ул., д.11",33\18,29\15
"Гладкова ул., д.13",53\26,19\21
"Гладкова ул., д.17",196\63,196\72
"Гладкова ул., д.19",87\62,74\46
"Гладкова ул., д.21",93.708\0,93.708\0
"Гладкова ул., д.23",240\161,148\110
"Гладкова ул., д.24/7",180\94,120\61
"Гладкова ул., д.25",539\313,336\228
"Гладкова ул., д.26",139\68,100\50
"Гладкова ул., д.29",156\113,118\112
"Гладкова ул., д.31/7",70\37,39\20
"Гладкова ул., д.33",91\45,85\44
"Гладкова ул., д.35",55.708\0,55.708\0
"Гладкова ул., д.39",11\5,10\5
"Гладкова ул., д.41",24\12,2\0
"Гладкова ул., д.43",38.94\29,26.4\20
"Губина ул., д.1/32",270.27\113,266.63\115
"Губина ул., д.4",81.84\45,115.32\69
"Губина ул., д.5",118.864\0,118.864\0
"Губина ул., д.6",90\50,11\8
"Губина ул., д.8",419\144,196\80
"Губина ул., д.9, к.1",37.6\24,37.6\25
"Губина ул., д.9, к.2",64\32,47\23
"Губина ул., д.12",130\67,65\33
"Губина ул., д.13, к.1",57.96\35,46.2\28
"Губина ул., д.13, к.2",52\30,39\26
"Губина ул., д.14",76\55,67\52
"Губина ул., д.15",33\18,33\18
"Губина ул., д.18",32\16,23\12
"Губина ул., д.19/16",78\56,97\69
"Губина ул., д.20",147\72,92\50
"Губина ул., д.21",84\44,111\67
"Губина ул., д.22/21",65\36,52\33
"Губина ул., д.23/19",120\60,155\76
"Двинская ул., д.4",446\275,468\327
"Двинская ул., д.4, к.1",287\195,232\192
"Двинская ул., д.4, к.2",531\319,496\340
"Двинская ул., д.4, к.3",402\258,345\265
"Двинская ул., д.4, к.4",274\193,240\211
"Двинская ул., д.8",205.74\141,182.25\153
"Двинская ул., д.9",277.14\148,260.4\139
"Двинская ул., д.10",344.4\270,407.84\283
"Двинская ул., д.11",278.08\186,259.6\186
"Двинская ул., д.14",301.86\184,297.56\191
"Двинская ул., д.14, к.4",1316\390,1384\422
"Двинская ул., д.16, к.1",3903.42\1749,4067.8\1813
"Двинская ул., д.17",562\303,592\330
"Зайцева ул., д.3",165.6\495,196.88\366
"Зайцева ул., д.17/23",1057.5\555,959.74\505
"Зайцева ул., д.18/16",190.08\103,102.72\58
"Зайцева ул., д.19/18",233\158,325\234
"Зайцева ул., д.20",449\235,318\225
"Зайцева ул., д.21",24\9,27\11
"Зайцева ул., д.22/13",279.83\464,1214.5\610
"Зайцева ул., д.25",102\69,132\103
"Зайцева ул., д.26",103.74\37,103.74\37
"Зайцева ул., д.29",46\28,57\44
"Зайцева ул., д.31",401\243,482\327
"Зайцева ул., д.32",213\133,219\164
"Зайцева ул., д.33",312.8\229,409.7\323
"Зайцева ул., д.34",91\46,118\56
"Зайцева ул., д.36",354\217,412\258
"Зайцева ул., д.37",246\144,351\186
"Зайцева ул., д.39",279\166,323\211
"Зины Портновой ул., д.4",75\61,41\37
"Зины Портновой ул., д.6",433\338,227\219
"Зины Портновой ул., д.8",289\233,151\140
"Зины Портновой ул., д.10",405\281,188\144
"Зины Портновой ул., д.12",227\188,101\106
"Зины Портновой ул., д.14",384\308,201\197
"Зины Портновой ул., д.16",507\252,343\169
"Зины Портновой ул., д.18",418\296,217\188
"Зины Портновой ул., д.20",170\128,74\82
"Зины Портновой ул., д.22",90\63,41\36
"Зины Портновой ул., д.24",355\252,134\136
"Зины Портновой ул., д.26",319\263,155\168
"Зины Портновой ул., д.28",565\249,296\156
"Зины Портновой ул., д.30",648\418,287\215
"Зои Космодемьянской ул., д.3",182.4\313,212.8\326
"Зои Космодемьянской ул., д.5",1060\311,895.3\302
"Зои Космодемьянской ул., д.6, к.1",558.3\231,519.45\221
"Зои Космодемьянской ул., д.8/17",39\31,44\30
"Зои Космодемьянской ул., д.16/24",93.94\27,71.61\49
"Зои Космодемьянской ул., д.17/26",229.2\166,426.97\228
"Зои Космодемьянской ул., д.21",220\93,221\91
"Зои Космодемьянской ул., д.23",133\43,126\35
"Зои Космодемьянской ул., д.25/20",119\61,73\38
"Зои Космодемьянской ул., д.29",49\30,82\43
"Ивана Черных ул., д.1",79.17\56,30.45\29
"Ивана Черных ул., д.3, к.2",211\109,158\81
"Ивана Черных ул., д.13а",258\157,185\115
"Ивана Черных ул., д.13б",310\251,230\216
"Ивана Черных ул., д.15а",305\178,278\187
"Ивана Черных ул., д.15б",56\35,41\36
"Ивана Черных ул., д.19",218\138,158\130
"Калинина ул., д.10",178.07\0,178.068\0
"Канонерский о., д.7",9070\3441,8716\3229
"Канонерский о., д.8",4011\1430,4152\1422
"Канонерский о., д.9",2670\1080,2895\1200
"Канонерский о., д.10",3125\1225,2750\1075
"Канонерский о., д.12",720\363,691\334
"Канонерский о., д.12, к.2",757\380,635\340
"Канонерский о., д.13",496\342,444\376
"Канонерский о., д.14",542\342,365\258
"Канонерский о., д.15",401.508\0,401.508\0
"Канонерский о., д.16",249\139,237\138
"Канонерский о., д.17",78\32,34\16
"Канонерский о., д.25",1122\545,1095\522
"Корнеева ул., д.2",681.15\379,765.7\413
"Корнеева ул., д.6",1350.9\325,1822.6\411
"Косинова ул., д.5",122.816\0,122.816\0
"Косинова ул., д.7",123.28\15,122.36\16
"Косинова ул., д.9/9",104\62,92\63
"Косинова ул., д.14, к.1",717\464,336\247
"Косинова ул., д.14, к.2",528\381,301\259
"Краснопутиловская ул., д.16/13",817.86\468,712.08\390
"Краснопутиловская ул., д.18",128\79,116\73
"Краснопутиловская ул., д.20",81.6\64,96.05\86
"Краснопутиловская ул., д.26",521.16\289,372.38\220
"Краснопутиловская ул., д.28/20",571.2\309,426.24\218
"Ленинский пр., д.110, к.1а",928\581,902\591
"Ленинский пр., д.110, к.1б",3237\2632,3127\2630
"Ленинский пр., д.120, к.2",230.81\0,230.812\0
"Ленинский пр., д.124",3780.4\1703,2354.18\1089
"Ленинский пр., д.130, к.2",691\320,685\315
"Майков пер., д.3",104.576\0,104.576\0
"Майков пер., д.5а",36.708\0,36.708\0
"Майков пер., д.7/1",141\72,85\44
"Маршала Говорова ул., д.3/7",473.8\0,496.8\0
"Маршала Говорова ул., д.5/4",456.82\321,468.65\360
"Маршала Говорова ул., д.6/5",329.94\203,347.8\239
"Маршала Говорова ул., д.7",308\169,335\200
"Маршала Говорова ул., д.11/3",112.24\21,146.28\30
"Маршала Говорова ул., д.15",96.94\105,85.84\111
"Маршала Говорова ул., д.16",4190\1440,4760\1663
"Маршала Говорова ул., д.17",188.79\133,133.92\111
"Маршала Говорова ул., д.21",343\179,353\191
"Маршала Говорова ул., д.22, к.2",104.28\73,124.82\102
"Маршала Говорова ул., д.23",293\150,248\120
"Маршала Говорова ул., д.24",573\339,622\408
"Маршала Говорова ул., д.26, к.2",190\97,218\113
"Маршала Жукова пр., д.18а",1162\514,1149\551
"Маршала Жукова пр., д.18б",3055.8\1472,2851.56\1372
"Маршала Жукова пр., д.18в",3062\1524,2976\1686
"Маршала Жукова пр., д.18г",1764\989,1526.56\1021
"Маршала Жукова пр., д.18д",1427\767,1249\713
"Маршала Жукова пр., д.26/16а",1108\854,1040\785
"Маршала Жукова пр., д.26/16б",1905.4\1033,1762.39\1003
"Маршала Жукова пр., д.26/16в",2744.4\1892,1981.18\1544
"Маршала Жукова пр., д.28, к.1",2806.9\1933,1965.58\1473
"Маршала Жукова пр., д.30, к.2а",1530\930,1440\990
"Маршала Жукова пр., д.30, к.2б",632\168,651\179
"Маршала Жукова пр., д.30, к.2в",3969\1977,3565\2159
"Маршала Жукова пр., д.30, к.2г",2203\1357,1961\1490
"Маршала Жукова пр., д.30, к.2д",3571\1924,3349\1969
"Маршала Жукова пр., д.30, к.2е",1586\1119,1483\1126
"Маршала Жукова пр., д.30, к.2ж",2165\1203,1995\1218
"Маршала Жукова пр., д.32, к.1",5152.9\2062,4320.01\2199
"Маршала Жукова пр., д.34, к.1а",2051\1389,1750\1194
"Маршала Жукова пр., д.34, к.1б",353\74,331\154
"Маршала Жукова пр., д.34, к.1в",2415\1899,2260\1745
"Маршала Жукова пр., д.34, к.1г",1392\974,1081.6\835
"Маршала Жукова пр., д.34, к.1д",680\142,640\298
"Маршала Жукова пр., д.34, к.1е",1034\216,970\453
"Маршала Казакова ул., д.1, к.2",1740\1050,1553\770
"Маршала Казакова ул., д.3, к.1",1753\813,1215\551
"Маршала Казакова ул., д.5, к.1а",1468.8\702,1256.7\732
"Маршала Казакова ул., д.5, к.1б",2376.1\1300,1804\1266
"Маршала Казакова ул., д.10, к.1а",1924.9\1138,1715.2\1044
"Маршала Казакова ул., д.10, к.1б",1539.5\947,1909\1274
"Маршала Казакова ул., д.10, к.1в",2056.5\1127,1689.08\1039
"Маршала Казакова ул., д.10, к.1д",1827.4\1017,1144.81\933
"Маршала Казакова ул., д.13",820\440,722\416
"Метростроевцев ул., д.2",516.8\340,0\399
"Метростроевцев ул., д.3",146\75,117\66
"Морской пехоты ул., д.4",2822\1662,2241\1350
"Морской пехоты ул., д.6, к.1",1286.1\400,1263.8\433
"Морской пехоты ул., д.10, к.1",2313\1372,2073\1108
"Морской пехоты ул., д.14",1512\885,1496\902
"Народного ополчения пр., д.7",476\215,512\244
"Новаторов бул., д.1",345.6\273,144\135
"Новаторов бул., д.3",149\80,123\71
"Новоовсянниковская ул., д.9",92\48,83\36
"Новоовсянниковская ул., д.13",78\40,101\52
"Новостроек ул., д.8",87\57,102\55
"Новостроек ул., д.20",197\121,151\106
"Новостроек ул., д.25",204\119,140.25\82
"Новостроек ул., д.27",40\21,50\27
"Новостроек ул., д.28",175\126,122\68
"Новостроек ул., д.29",89.25\57,92.65\60
"Новостроек ул., д.31",289.41\0,289.41\0
"Новостроек ул., д.33",110\65,96\60
"Новостроек ул., д.35",178.5\88,192.1\121
"Оборонная ул., д.3",330\187,126\85
"Оборонная ул., д.4",406\264,662\300
"Оборонная ул., д.5",652\429,357\230
"Оборонная ул., д.6",197\40,77\17
"Оборонная ул., д.7/20",201\115,43\29
"Оборонная ул., д.14",72\36,82\41
"Оборонная ул., д.15",1\1,1\1
"Оборонная ул., д.17/13",83\47,111\62
"Оборонная ул., д.19",27\20,116\71
"Оборонная ул., д.20/18",72\41,52\31
"Оборонная ул., д.23/17",108\54,74\38
"Оборонная ул., д.27",91\46,73\38
"Огородный пер., д.4, к.3",424\241,432\273
"Огородный пер., д.6, к.1",163\82,191\95
"Промышленная ул., д.12",100\65,74\56
"Промышленная ул., д.26",296\154,296\154
"Промышленная ул., д.28",31\16,45\22
"Промышленная ул., д.30",14\7,14\7
"Промышленная ул., д.34",108\56,85\45
"Промышленная ул., д.36",59\30,60\29
"Промышленная ул., д.38",111\33,7\5
"Севастопольская ул., д.6",97\48,110\54
"Севастопольская ул., д.34",87\42,27\15
"Стачек пр., д.1",539\423,525\500
"Стачек пр., д.2/2",82\42,84\44
"Стачек пр., д.4/1",163.4\0,163.4\0
"Стачек пр., д.6",178.48\80,112.24\53
"Стачек пр., д.8/2",67\42,37\30
"Стачек пр., д.8а",772\228,504\131
"Стачек пр., д.9",325\164,331\168
"Стачек пр., д.10",185\159,104\120
"Стачек пр., д.11",451.656\319,229.272\193
"Стачек пр., д.17",257.129\125,222.99\112
"Стачек пр., д.19",1518\710,1502\642
"Стачек пр., д.21",2409.57\970,3702.56\1551
"Стачек пр., д.22",252\160,196\145
"Стачек пр., д.22а",702\276,833\322
"Стачек пр., д.23",853\439,857\452
"Стачек пр., д.24",221.69\0,221.69\0
"Стачек пр., д.29",244\125,231\146
"Стачек пр., д.33/2",123\88,60\50
"Стачек пр., д.34, к.2",116\75,85\54
"Стачек пр., д.35",79\57,97\63
"Стачек пр., д.41",620\399,716\477
"Стачек пр., д.42",70\54,26\38
"Стачек пр., д.95, к.1",4593\2528,3597\2167
"Стачек пр., д.101, к.1а",1734.7\1004,1352.58\883
"Стачек пр., д.101, к.1б",832.44\885,711.75\681
"Стачек пр., д.101, к.1в",2641\1569,1817\1171
"Стачек пр., д.101, к.1г",1521\1189,963\925
"Стачек пр., д.101, к.1д",1540\859,1139\710
"Стачек пр., д.102",41\37,27\24
"Стачек пр., д.103, к.1",2283.8\2089,1717.72\1855
"Стачек пр., д.105, к.2а",1086\634,1064\687
"Стачек пр., д.105, к.2б",2282.6\1458,2028.37\1626
"Стачек пр., д.105, к.2в",3229\1538,3208\1662
"Стачек пр., д.105, к.2г",1581\1176,1436\1138
"Стачек пр., д.105, к.2д",3466.1\2135,3141.93\2251
"Стачек пр., д.105, к.2е",2207.1\1364,1955.44\1342
"Стачек пр., д.105, к.2ж",3316.1\1641,3235\1743
"Стачек пр., д.105, к.2з",2225.7\1478,1968.2\1677
"Стачек пр., д.107, к.1",1729.9\948,1515.88\794
"Тракторная ул., д.3",60\73,239.324\0
"Тракторная ул., д.4",135\70,69\39
"Тракторная ул., д.4а",283\281,180\166
"Тракторная ул., д.5",342\196,212\129
"Тракторная ул., д.6",88\65,48\49
"Тракторная ул., д.6, к.2",51\30,32\21
"Тракторная ул., д.7",213\116,118\85
"Тракторная ул., д.8",125\100,58\73
"Тракторная ул., д.9",203\135,211\161
"Тракторная ул., д.10",78\65,41\45
"Тракторная ул., д.12",233\213,140\180
"Тракторная ул., д.13",242\137,122\54
"Тракторная ул., д.15",277\168,175\111
"Трамвайный пр., д.5",229.52\0,229.52\0
"Трамвайный пр., д.7, к.1",205\167,108\102
"Трамвайный пр., д.7, к.2",529\265,320\158
"Трамвайный пр., д.9, к.1",251\217,134\139
"Трамвайный пр., д.9, к.2",191\100,119\60
"Трамвайный пр., д.11, к.1",76\52,8\5
"Трамвайный пр., д.11, к.2",200\247,89\79
"Трамвайный пр., д.11, к.3",231.12\0,231.116\0
"Трамвайный пр., д.11, к.6",940\423,586\252
"Трамвайный пр., д.13, к.1",338\0,338.96\0
"Трамвайный пр., д.13, к.2",87\66,25\30
"Трамвайный пр., д.13, к.3",127.00,62.00
"Трамвайный пр., д.15, к.1",236\200,129\121
"Трамвайный пр., д.15, к.2",141\84,72\48
"Трамвайный пр., д.15, к.3",166\133,59\59
"Трамвайный пр., д.17",84\59,36\34
"Трефолева ул., д.3",830\357,1220\547
"Трефолева ул., д.5",261\188,267\227
"Трефолева ул., д.11",50\26,107\59
"Трефолева ул., д.15",638\355,575\331
"Трефолева ул., д.22/25",2524.1\1141,1776.1\782
"Трефолева ул., д.26",148\78,109\59
"Турбинная ул., д.11",174\94,159\95
"Тургеневский пер., д.3",144.628\0,145.199\0
"Тургеневский пер., д.5",70\46,69\47
"Урюпин пер., д.2/6",61\30,7\3
"Урюпин пер., д.5",347\243,216\156
"Швецова ул., д.4",67\34,36\20
"Швецова ул., д.6",127\63,75\38
"Швецова ул., д.10",783\587,381\354
"Швецова ул., д.11",440\238,930\599
"Шотландская ул., д.3",66\33,61\28
