"Автовская ул., д.21",227\185,276\159
"Автовская ул., д.22",199.39\165,179.76\147
"Автовская ул., д.25",249\167,212\161
"Автовская ул., д.26/37",421.09\219,361.73\192
"Автовская ул., д.28/30",100\56,161\102
"Автовская ул., д.29",559\253,536\236
"Автовская ул., д.30",137\80,90\61
"Автовская ул., д.32",63.449\37,69.293\54
"Автовская ул., д.34",74\21,73\43
"Автовская ул., д.38",74\44,45\28
"Автовская ул., д.40",253\175,322\260
"Автовская ул., д.46",101\53,126\64
"Автовская ул., д.52",192\145,220\199
"Балтийская ул., д.2/14",766.7\413,753.1\383
"Балтийская ул., д.12",347.26\223,258.99\184
"Балтийская ул., д.14",261.44\0,261.44\0
"Балтийская ул., д.17",9.72\4,9.72\4
"Балтийская ул., д.17, к.2",334.05\180,210.8\39
"Балтийская ул., д.18",52\40,45\31
"Балтийская ул., д.19а",32.83\24.37,36.2\25.7
"Балтийская ул., д.19б",17.01\12.63,18.8\13.3
"Балтийская ул., д.20",37.02\37.14,19.8\19.7
"Балтийская ул., д.21, к.2",85\44,51\30
"Балтийская ул., д.22",28.77\28.86,15.39\15.3
"Балтийская ул., д.23",15\7,21\11
"Балтийская ул., д.24",60.59\90,4.38\7
"Балтийская ул., д.25",60.344\0,60.344\0
"Балтийская ул., д.27",57.076\0,57.076\0
"Балтийская ул., д.32а",62.6\42.02,38.3\27.5
"Балтийская ул., д.32д",23.8\15.98,14.5\10.5
"Балтийская ул., д.34",45.65\0,63.91\0
"Балтийская ул., д.36/9",235.52\130,125.12\70
"Балтийская ул., д.38",251\151,242\149
"Баррикадная ул., д.3",199\95,197\107
"Баррикадная ул., д.4",90.516\0,90.516\0
"Баррикадная ул., д.34",117\59,77\40
"Белоусова ул., д.3",41\21,31\17
"Белоусова ул., д.5",82\50,46\34
"Белоусова ул., д.6/42",444.99\251,354.9\199
"Белоусова ул., д.10",75.392\0,75.392\0
"Белоусова ул., д.14/41",55.237\0,37\20
"Белоусова ул., д.16",111.22\65,108.73\63
"Белоусова ул., д.18",92\47,114\58
"Белоусова ул., д.18, к.1",168\121,217\180
