"Автовская ул., д.21",293\150,253\132
"Автовская ул., д.22",233\168,193\130
"Автовская ул., д.25",87\88,74\85
"Автовская ул., д.26/37",429\287,256.33\212
"Автовская ул., д.28/30",181\124,276\128
"Автовская ул., д.29",759\161,631\130
"Автовская ул., д.30",53\66,46\64
"Автовская ул., д.32",92\100,70\75
"Автовская ул., д.34",230\119,383\213
"Автовская ул., д.38",41\26,34\21
"Автовская ул., д.40",193\167,121\153
"Автовская ул., д.46",94\49,66\36
"Автовская ул., д.52",99\104,84\131
"Балтийская ул., д.2/14",121\383,38\303
"Балтийская ул., д.12",431\235.34,235\76.34
"Балтийская ул., д.14",265\178,428\225
"Балтийская ул., д.17",143\108,141.55\95
"Балтийская ул., д.17, к.2",5145.8\0,3341.4\1804.4
"Балтийская ул., д.18",42\47,33\35
"Балтийская ул., д.19",62\72,54\67
"Балтийская ул., д.20",54\41,61.9\61.9
"Балтийская ул., д.21",34\15,7\11
"Балтийская ул., д.22",42\31,48.1\48.1
"Балтийская ул., д.23",19\10,19\10
"Балтийская ул., д.24",11\64,63\65
"Балтийская ул., д.25",106\6,11\64
"Балтийская ул., д.27",44\26,38\21
"Балтийская ул., д.32",85\75,31\39
"Балтийская ул., д.34",3\0,32\0
"Балтийская ул., д.36/9",118\137,140\73
"Балтийская ул., д.38",152\128,121\40
"Баррикадная ул., д.3",205\0,215\0
"Баррикадная ул., д.4",50\30,40\25
"Баррикадная ул., д.34",66\48,75\45
"Белоусова ул., д.3",9\15,12\63
"Белоусова ул., д.5",20\26,51\43
"Белоусова ул., д.6/42",240\60,249\75
"Белоусова ул., д.10",7\40,7\40
"Белоусова ул., д.14/41",40\19,32\19
"Белоусова ул., д.16",104\105,114\111
"Белоусова ул., д.18",58\32,60\34
"Белоусова ул., д.18, к.1",45\26,45\29
"Белоусова ул., д.20",27\22,53\49
"Белоусова ул., д.22",968\496,1287\584
"Белоусова ул., д.24/32",18\19,9\47
"Васи Алексеева ул., д.7",0\24,0\42
"Васи Алексеева ул., д.9",21\22,65\62
"Васи Алексеева ул., д.10",506\330,187.57\112
"Васи Алексеева ул., д.11",112\124,120\138
"Васи Алексеева ул., д.17",123\120,132\135
"Васи Алексеева ул., д.20/24",163\108,134\127
"Васи Алексеева ул., д.21",160\119,260\217
"Васи Алексеева ул., д.22",320\361,374.62\446
"Васи Алексеева ул., д.24",277\201,307\234
"Васи Алексеева ул., д.25",144\168,175\203
"Васи Алексеева ул., д.26",70\85,82\102
"Васи Алексеева ул., д.28",265\146,405\252
"Васи Алексеева ул., д.30",280\196,223.51\236
"Возрождения ул., д.7/25",525\393,396.64\304
"Возрождения ул., д.9",42\38,65\44
"Возрождения ул., д.15",152\128,167.51\131
"Возрождения ул., д.19/38",415\403,241.5\356
"Возрождения ул., д.23",153\123,204\154
"Возрождения ул., д.25",241\184,270\223
"Возрождения ул., д.27",150\93,234\156
"Гладкова ул., д.1",32\27,41\56
"Гладкова ул., д.1а",56\0,78\32
"Гладкова ул., д.7/10",9\45,47\65
"Гладкова ул., д.11",502\0,177\0
"Гладкова ул., д.13",21\10,26\13
"Гладкова ул., д.17",200\150,210\155
"Гладкова ул., д.19",43\21,38\19
"Гладкова ул., д.21",48\40,23\0
"Гладкова ул., д.23",122\125,139\186
"Гладкова ул., д.24/7",68\36,59\32
"Гладкова ул., д.25",179\185,331\353
"Гладкова ул., д.26",72\59,101\97
"Гладкова ул., д.29",51\46,55\0
"Гладкова ул., д.31/7",63\39,27\29
"Гладкова ул., д.33",73\46,185\0
"Гладкова ул., д.35",40\21,40\19
"Гладкова ул., д.39",0\27,0\30
"Гладкова ул., д.41",7\2,10\4
"Гладкова ул., д.43",47\23,54\28
"Губина ул., д.1/32",137\73,218\109
"Губина ул., д.4",57\34,63\39
"Губина ул., д.6",61\40,59\40
"Губина ул., д.8",40\25,40\20
"Губина ул., д.9, к.1",2\1,25\14
"Губина ул., д.9, к.2",49\26,50\25
"Губина ул., д.12",0\20,57\43
"Губина ул., д.13, к.1",133\92,141\100
"Губина ул., д.13, к.2",3\5,2\1
"Губина ул., д.14",28\13,72\43
"Губина ул., д.15",32\40,45\41
"Губина ул., д.18",51\25,50\25
"Губина ул., д.19/16",54\28,52\28
"Губина ул., д.20",117\50,132\67
"Губина ул., д.21",72\49,48\50
"Губина ул., д.22/21",40\23,57\31
"Губина ул., д.23/19",109\54,112\58
"Двинская ул., д.4",502\420,311\280
"Двинская ул., д.4, к.1",157\146,89\120
"Двинская ул., д.4, к.2",347\291,215\209
"Двинская ул., д.4, к.3",336\301,204\229
"Двинская ул., д.4, к.4",144\174,164\126
"Двинская ул., д.8",98\167,123\119
"Двинская ул., д.9",573\296,244\147
"Двинская ул., д.10",101\169,119\172
"Двинская ул., д.14",578\357,264\110
"Двинская ул., д.14, к.4",1519\452,924\270
"Двинская ул., д.16, к.1",3827\1369,3377\1316
"Двинская ул., д.17",448\202,296\42
"Зайцева ул., д.3",70\0,30.86\0
"Зайцева ул., д.17/23",942\547,590.21\368
"Зайцева ул., д.18/16",88\13,88\69
