"Автовская ул., д.21",379\195,342\169
"Автовская ул., д.22",261\138,239\126
"Автовская ул., д.25",160\143,161\125
"Автовская ул., д.26/37",391.39\244,354.39\214
"Автовская ул., д.28/30",133\125,123\94
"Автовская ул., д.29",806\162,742\151
"Автовская ул., д.30",107\100,160\83
"Автовская ул., д.32",99\100,77\76
"Автовская ул., д.34",80\65,78\58
"Автовская ул., д.38",55\33,49\23
"Автовская ул., д.40",121\133,144\159
"Автовская ул., д.46",125\64,93\46
"Автовская ул., д.52",144\184,70\131
"Балтийская ул., д.2/14",146.68\389,410\284
"Балтийская ул., д.12",178.34\140,122.34\116
"Балтийская ул., д.14",815\1,815\0
"Балтийская ул., д.17",1486.95\1549.95,241.69\0
"Балтийская ул., д.17, к.2",241.69\1,2618.81\0
"Балтийская ул., д.18",24\48,53\52
"Балтийская ул., д.19",61\51,79\65
"Балтийская ул., д.20",113.21\90.61,62.09\9.33
"Балтийская ул., д.21",390\13,414\25
"Балтийская ул., д.22",87.96\70.39,62.09\9.33
"Балтийская ул., д.23",5\5,50\30
"Балтийская ул., д.24",31\67,26.22\68
"Балтийская ул., д.25",122\62,100\50
"Балтийская ул., д.27",51\27,47\29
"Балтийская ул., д.32",91.07\74,76.07\62
"Балтийская ул., д.34",39.01\0,10.01\0
"Балтийская ул., д.36/9",88.5\115,21.5\81
"Балтийская ул., д.38",211\210,125\149
"Баррикадная ул., д.3",300\20,300\20
"Баррикадная ул., д.4",196\81,196\0
"Баррикадная ул., д.34",50\35,51\38
"Белоусова ул., д.3",70\73,98\86
"Белоусова ул., д.5",37\56,43\62
"Белоусова ул., д.6/42",205.6\156,268.6\199
"Белоусова ул., д.10",161.17\49,210.17\0
"Белоусова ул., д.14/41",144\71,215\0
"Белоусова ул., д.16",263.78\73,363.78\71
"Белоусова ул., д.18",75\38,75\36
"Белоусова ул., д.18, к.1",85\94,75\68
"Белоусова ул., д.20",56\50,55\53
"Белоусова ул., д.22",1290\630,1131\564
"Белоусова ул., д.24/32",9\31,6\21
