"Автовская ул., д.21",253\132,288\150
"Автовская ул., д.22",193\130,289\169
"Автовская ул., д.25",74\85,204\167
"Автовская ул., д.26/37",256.33\212,360.39\261
"Автовская ул., д.28/30",276\128,301\171
"Автовская ул., д.29",631\130,763\173
"Автовская ул., д.30",46\64,79\97
"Автовская ул., д.32",70\75,110\104
"Автовская ул., д.34",383\213,208\127
"Автовская ул., д.38",34\21,120\84
"Автовская ул., д.40",121\153,212\211
"Автовская ул., д.46",66\36,90\47
"Автовская ул., д.52",84\131,154\184
"Балтийская ул., д.2/14",38\303,38\302
"Балтийская ул., д.12",235\76.34,334\125.34
"Балтийская ул., д.14",428\225,416\220
"Балтийская ул., д.17",141.55\95,89\73
"Балтийская ул., д.17, к.2",3341.4\1804.4,1666\953.04
"Балтийская ул., д.18",33\35,19\101
"Балтийская ул., д.19",54\67,77\5
"Балтийская ул., д.20",61.9\61.9,65.28\38.27
"Балтийская ул., д.21",7\11,25\15
"Балтийская ул., д.22",48.1\48.1,50.72\29.73
"Балтийская ул., д.23",19\10,0\20
"Балтийская ул., д.24",63\65,30.22\67
"Балтийская ул., д.25",11\64,87\44
"Балтийская ул., д.27",38\21,15\10
"Балтийская ул., д.32",31\39,65.07\62
"Балтийская ул., д.34",32\0,40.01\0
"Балтийская ул., д.36/9",140\73,54.5\108
"Балтийская ул., д.38",121\40,72\103
"Баррикадная ул., д.3",215\0,210\0
"Баррикадная ул., д.4",40\25,40\24
"Баррикадная ул., д.34",75\45,60\29
"Белоусова ул., д.3",12\63,18\44
"Белоусова ул., д.5",51\43,92\66
"Белоусова ул., д.6/42",249\75,251\44.6
"Белоусова ул., д.10",7\40,60\40
"Белоусова ул., д.14/41",32\19,31\20
"Белоусова ул., д.16",114\111,113.78\100
"Белоусова ул., д.18",60\34,64\36
"Белоусова ул., д.18, к.1",45\29,58\39
"Белоусова ул., д.20",53\49,61\46
"Белоусова ул., д.22",1287\584,1490\599
"Белоусова ул., д.24/32",9\47,22\21
"Васи Алексеева ул., д.7",0\42,76\36
"Васи Алексеева ул., д.9",65\62,12.36\72
"Васи Алексеева ул., д.10",187.57\112,182.34\111
"Васи Алексеева ул., д.11",120\138,175\172
"Васи Алексеева ул., д.17",132\135,211\181
"Васи Алексеева ул., д.20/24",134\127,227\214
"Васи Алексеева ул., д.21",260\217,342\243
"Васи Алексеева ул., д.22",374.62\446,528.62\468
"Васи Алексеева ул., д.24",307\234,414\266
"Васи Алексеева ул., д.25",175\203,243\274
"Васи Алексеева ул., д.26",82\102,177\157
"Васи Алексеева ул., д.28",405\252,335\212
"Васи Алексеева ул., д.30",223.51\236,423.89\358
"Возрождения ул., д.7/25",396.64\304,597.84\399
"Возрождения ул., д.9",65\44,164\48
"Возрождения ул., д.15",167.51\131,269\171
"Возрождения ул., д.19/38",241.5\356,458.39\470
"Возрождения ул., д.23",204\154,424\270
"Возрождения ул., д.25",270\223,281\190
"Возрождения ул., д.27",234\156,280\176
"Гладкова ул., д.1",41\56,82\34.49
"Гладкова ул., д.1а",78\32,64\31
"Гладкова ул., д.7/10",47\65,22.32\50
"Гладкова ул., д.11",177\0,117\0
"Гладкова ул., д.13",26\13,24\14
